name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Thorntons,,,,,,,38.2398004,-85.8094453,Corner Stores in Louisville 40203
Urban Express Mini Mart · Visited link,"207 W Ormsby Ave, Louisville, KY 40203",,,,,,38.2398004,-85.8094453,Corner Stores in Louisville 40203
Shelby Mart · Visited link,"901 S Shelby St, Louisville, KY 40203",,(502) 384-1800,,3.3,,38.2398004,-85.8094453,Corner Stores in Louisville 40203
Neighborhood Food Mart Inc · Visited link,"542 Lampton St, Louisville, KY 40203",,(502) 583-2762,,4.6,,38.2398004,-85.8094453,Corner Stores in Louisville 40203
Pacmans Food Mart · Visited link,"201 N 19th St, Louisville, KY 40203",,,,4.6,,38.2608325,-85.8529554,Corner Stores in Louisville 40203
Stop N Go · Visited link,"700 W Oak St, Louisville, KY 40203",,(502) 919-7166,,3.4,,38.2608325,-85.8529554,Corner Stores in Louisville 40203
The Hat Don · Visited link,"1420 W Broadway, Louisville, KY 40203",,,,,,38.2608325,-85.8529554,Corner Stores in Louisville 40203
Trippys corner food mart · Visited link,"1100 S 1st St, Louisville, KY 40203",,(502) 333-0406,,5.0,,38.2608325,-85.8529554,Corner Stores in Louisville 40203
The Hat Don · Visited link,"800 E Kentucky St, Louisville, KY 40204",,(260) 702-5095,,,,38.2366696,-85.8126832,Corner Stores in Louisville 40203
Platinum Food Mart · Visited link,"1025 W Broadway, Louisville, KY 40203",,(502) 690-7365,,4.9,"Convenience store chain offering grab-&-go bites & beverages, plus assorted newsstand items.",38.2366696,-85.8126832,Corner Stores in Louisville 40203
Shorty's Food Mart · Visited link,"1711 W Broadway, Louisville, KY 40203",,(502) 583-0014,,4.0,,38.2493179,-85.8527139,Corner Stores in Louisville 40203
Circle K · Visited link,"1630 Arthur St, Louisville, KY 40208",circlek.com,(502) 634-8917,,2.7,,38.2493179,-85.8527139,Corner Stores in Louisville 40203
Expressway Mart · Visited link,"1420 W Broadway, Louisville, KY 40203",,,,,,38.2493179,-85.8527139,Corner Stores in Louisville 40203
Nulu Food Mart · Visited link,"528 E Liberty St, Louisville, KY 40202",,(502) 883-1451,,3.4,,38.2507379,-85.8148551,Corner Stores in Louisville 40203
Brothers Food Mart · Visited link,"2601 Virginia Ave, Louisville, KY 40211",,(502) 715-8001,,4.3,,38.238042,-85.8685713,Corner Stores in Louisville 40203
F & M Food Mart · Visited link,"1600 Arcade Ave, Louisville, KY 40215",facebook.com,(502) 361-4200,,4.0,,38.238042,-85.8685713,Corner Stores in Louisville 40203
Happys Food Mart · Visited link,"1397 S 2nd St, Louisville, KY 40208",,,,4.0,,38.2289669,-85.8299633,Corner Stores in Louisville 40203
4 Point Grocery · Visited link,"1035 S 3rd St, Louisville, KY 40203",,(502) 409-9155,,4.5,,38.2289669,-85.8299633,Corner Stores in Louisville 40203
5 Brothers Grocery & Smokeshop · Visited link,"1159 S 4th St, Louisville, KY 40203",,(502) 919-8483,,4.0,,38.2289669,-85.8299633,Corner Stores in Louisville 40203
Baders Food Mart · Visited link,"300 S 1st St, Louisville, KY 40202",,(502) 584-8412,,2.3,,38.2289669,-85.8299633,Corner Stores in Louisville 40203
KENTUCKY CONVENIENCE STORE LLC · Visited link,"631 N 25th St, Louisville, KY 40212",,(502) 742-3032,,5.0,"·
In-store pickup
·
Delivery",38.2289669,-85.8299633,Corner Stores in Louisville 40203
The Hat Don · Visited link,"1506 S Shelby St, Louisville, KY 40217",,(260) 702-5095,,3.0,,38.2289669,-85.8299633,Corner Stores in Louisville 40203
24/7 Stop & Go · Visited link,"427 Warnock St, Louisville, KY 40217",,,,3.7,,38.2289669,-85.8299633,Corner Stores in Louisville 40203
Red Birds Food Store Llc · Visited link,"427 Warnock St, Louisville, KY 40217",,,,3.7,,38.2289669,-85.8299633,Corner Stores in Louisville 40203
12th & Hill Mart · Visited link,"1201 W Hill St, Louisville, KY 40210",,(502) 690-7654,,2.7,,38.2289669,-85.8299633,Corner Stores in Louisville 40203
Circle K · Visited link,"2100 Portland Ave, Louisville, KY 40212",circlek.com,(502) 776-7325,,3.4,,38.2289669,-85.8299633,Corner Stores in Louisville 40203
4th & Cardinal Food Mart · Visited link,"1927 S 4th St, Louisville, KY 40208",,(502) 635-7740,,3.0,,38.2289669,-85.8299633,Corner Stores in Louisville 40203
Dongar Food Mart & Deli · Visited link,"1397 S 2nd St St, Louisville, KY 40208",,(502) 635-2779,,3.9,,38.2289669,-85.8299633,Corner Stores in Louisville 40203
EZ Food Mart · Visited link,"1100 Algonquin Pkwy, Louisville, KY 40208",,(502) 690-3193,,4.7,"·
In-store pickup
·
Delivery",38.2289669,-85.8299633,Corner Stores in Louisville 40203
The Hat Don · Visited link,"2728 W Market St, Louisville, KY 40212",,(260) 702-5095,,,,38.2594045,-85.8681742,Corner Stores in Louisville 40203
7th Street Food Mart · Visited link,"2517 7th Street Rd, Louisville, KY 40208",,(502) 636-0073,,5.0,,38.2594045,-85.8681742,Corner Stores in Louisville 40203
oasis pizza & food mart · Visited link,"1036 S 4th St, Louisville, KY 40203",,(502) 742-9008,,1.0,,38.2594045,-85.8681742,Corner Stores in Louisville 40203
Scheler's Food Market · Visited link,"1397 S 2nd St St, Louisville, KY 40208",,(502) 635-2779,,4.1,"·
Delivery",38.2289827,-85.8299344,Corner Stores in Louisville 40203
Quick Shop Food Mart · Visited link,"1307 Clara Ave, Louisville, KY 40215",,(502) 361-2082,,3.6,,38.2289827,-85.8299344,Corner Stores in Louisville 40203
CAPS Food Mart & Deli (MARATHON) · Visited link,"1506 S Shelby St, Louisville, KY 40217",,(502) 636-1953,,2.8,,38.2289827,-85.8299344,Corner Stores in Louisville 40203
Anns Stop N Go Llc Mini mart · Visited link,"1505 S 25th St, Louisville, KY 40210",,,,,,38.2296515,-85.8691505,Corner Stores in Louisville 40203
Stop & Save Food Mart · Visited link,"2752 7th Street Rd, Louisville, KY 40215",,(502) 749-4012,,4.1,,38.2296515,-85.8691505,Corner Stores in Louisville 40203
Duramart · Visited link,"1480 S 7th St, Louisville, KY 40208",,(502) 634-7110,,3.7,,38.2296515,-85.8691505,Corner Stores in Louisville 40203
Green Store · Visited link,"301 S 18th St, Louisville, KY 40203",,(502) 585-2429,,4.0,,38.2296515,-85.8691505,Corner Stores in Louisville 40203
Moie's · Visited link,"1636 W Oak St, Louisville, KY 40210",,,,2.5,,38.2296515,-85.8691505,Corner Stores in Louisville 40203
Boone's Gas Station · Visited link,"521 N 22nd St, Louisville, KY 40203",,(502) 778-8420,,3.4,"·
Diesel gas",38.2296515,-85.8691505,Corner Stores in Louisville 40203
Tony's Convenient Mart · Visited link,"2532 W Broadway, Louisville, KY 40211",,,,4.0,,38.2296515,-85.8691505,Corner Stores in Louisville 40203
Moe's Food Mart · Visited link,"1029 S 26th St, Louisville, KY 40210",,(502) 835-5445,,4.3,"·
In-store shopping",38.2296515,-85.8691505,Corner Stores in Louisville 40203
The Little Store,"1029 S 26th St, Louisville, KY 40210",,(502) 835-5445,,4.3,"·
In-store shopping",38.2296515,-85.8691505,Corner Stores in Louisville 40203
The Purple Store Grand Foodmart · Visited link,"1100 Dixie Hwy, Louisville, KY 40210",,(502) 776-0782,,5.0,,38.2296515,-85.8691505,Corner Stores in Louisville 40203
Greenwood Grocery · Visited link,"1636 W Oak St, Louisville, KY 40210",,,,,,38.2296515,-85.8691505,Corner Stores in Louisville 40203
Lucy Mae's Food Mart & Kitchen · Visited link,"2300 W Kentucky St suite 1, Louisville, KY 40210",,(502) 290-9291,,4.6,"·
Delivery",38.2296515,-85.8691505,Corner Stores in Louisville 40203
Dailymart · Visited link,"1320 Dixie Hwy, Louisville, KY 40210",,(502) 776-9739,,2.6,,38.2296515,-85.8691505,Corner Stores in Louisville 40203
St Matthews Mini Mart · Visited link,"316 Wallace Ave, St Matthews, KY 40207",,(502) 749-2030,,3.6,,38.2520043,-85.729683,Corner Stores in Louisville 40203
Kamco Oil Speedy Mart · Visited link,"401 Winkler Ave, Louisville, KY 40208",,(502) 635-2005,,4.0,,38.2106808,-85.8371726,Corner Stores in Louisville 40203
The Hat Don · Visited link,"2532 W Broadway, Louisville, KY 40211",,,,,,38.2106808,-85.8371726,Corner Stores in Louisville 40203
The Hat Don · Visited link,"3122 Dixie Hwy, Louisville, KY 40216",,(260) 702-5095,,,,38.2042584,-85.8729085,Corner Stores in Louisville 40203
Thorntons · Visited link,"3320 Preston Hwy, Louisville, KY 40213",thorntonsinc.com,(502) 366-4047,,3.2,,38.199486,-85.8055778,Corner Stores in Louisville 40203
Shorty's Food Mart · Visited link,"2133 Dixie Hwy, Louisville, KY 40210",,(502) 775-6262,,3.9,,38.2197302,-85.8655478,Corner Stores in Louisville 40203
Dixie Food Mart · Visited link,"3512 Dixie Hwy, Louisville, KY 40216",,(502) 618-2450,,4.1,,38.2197302,-85.8655478,Corner Stores in Louisville 40203
Dollar General · Visited link,"1631 W Market St, Louisville, KY 40203",dollargeneral.com,(502) 792-0270,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2197302,-85.8655478,Corner Stores in Louisville 40203
DG Market · Visited link,"200 E Broadway, Louisville, KY 40202",dollargeneral.com,(502) 276-7912,,3.1,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.24522,-85.8234408,Corner Stores in Louisville 40203
Kcs2Plus Qs · Visited link,"2001 W Broadway # 13, Louisville, KY 40203",,(502) 742-6575,,5.0,,38.249411,-85.8578833,Corner Stores in Louisville 40203
Mr. Zee Corner Market · Visited link,"358 N 26th St, Louisville, KY 40212",mr-zee-corner-market.edan.io,(502) 772-1623,,4.6,,38.249411,-85.8578833,Corner Stores in Louisville 40203
Dollar General · Visited link,"409 W Oak St, Louisville, KY 40203",dollargeneral.com,(502) 665-0698,,2.6,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.249411,-85.8578833,Corner Stores in Louisville 40203
Oasis Grocery Mart & Head Shop&smokers oasis · Visited link,"1032 S 4th St, Louisville, KY 40203",,(502) 837-0582,,4.1,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.249411,-85.8578833,Corner Stores in Louisville 40203
