name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
12th & Hill Mart · Visited link,,,,,,,38.2063623,-85.9199501,Corner Stores in Louisville 40210
The Hat Don · Visited link,"800 E Kentucky St, Louisville, KY 40204",,(260) 702-5095,,,,38.2063623,-85.9199501,Corner Stores in Louisville 40210
Anns Stop N Go Llc Mini mart · Visited link,"1505 S 25th St, Louisville, KY 40210",,,,,,38.2063623,-85.9199501,Corner Stores in Louisville 40210
Moe's Food Mart · Visited link,"1029 S 26th St, Louisville, KY 40210",,(502) 835-5445,,4.3,"·
In-store shopping",38.2063623,-85.9199501,Corner Stores in Louisville 40210
The Little Store · Visited link,"1144 S 26th St, Louisville, KY 40210",,(502) 830-4373,,4.9,"·
Delivery",38.2063623,-85.9199501,Corner Stores in Louisville 40210
Dailymart · Visited link,"1320 Dixie Hwy, Louisville, KY 40210",,(502) 776-9739,,2.6,,38.2063623,-85.9199501,Corner Stores in Louisville 40210
Baders Food Mart · Visited link,"300 S 1st St, Louisville, KY 40202",,(502) 584-8412,,2.3,,38.2063623,-85.9199501,Corner Stores in Louisville 40210
Moie's · Visited link,"1636 W Oak St, Louisville, KY 40210",,,,2.5,,38.2063623,-85.9199501,Corner Stores in Louisville 40210
Lucy Mae's Food Mart & Kitchen · Visited link,"2300 W Kentucky St suite 1, Louisville, KY 40210",,(502) 290-9291,,4.6,"·
Delivery",38.2063623,-85.9199501,Corner Stores in Louisville 40210
Urban Express Mini Mart · Visited link,"207 W Ormsby Ave, Louisville, KY 40203",,,,,,38.2063623,-85.9199501,Corner Stores in Louisville 40210
The Purple Store Grand Foodmart · Visited link,"1100 Dixie Hwy, Louisville, KY 40210",,(502) 776-0782,,5.0,,38.2063623,-85.9199501,Corner Stores in Louisville 40210
Trippys corner food mart · Visited link,"1100 S 1st St, Louisville, KY 40203",,(502) 333-0406,,5.0,,38.2063623,-85.9199501,Corner Stores in Louisville 40210
Tnj Corner Store · Visited link,"3328 Virginia Ave, Louisville, KY 40211",,(502) 822-3644,,5.0,,38.2063623,-85.9199501,Corner Stores in Louisville 40210
Shorty's Food Mart · Visited link,"2133 Dixie Hwy, Louisville, KY 40210",,(502) 775-6262,,3.9,,38.2063623,-85.9199501,Corner Stores in Louisville 40210
Brothers Food Mart · Visited link,"2601 Virginia Ave, Louisville, KY 40211",,(502) 715-8001,,4.3,,38.2063623,-85.9199501,Corner Stores in Louisville 40210
4th & Cardinal Food Mart · Visited link,"1927 S 4th St, Louisville, KY 40208",,(502) 635-7740,,3.0,,38.2063623,-85.9199501,Corner Stores in Louisville 40210
