name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Kroger,"520 N 35th St, Louisville, KY 40212",kroger.com,(502) 776-3713,,3.9,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2663097,-85.8699528,Supermarkets/Full-Service Groceries in Louisville 40207
Kroger · Visited link,"2710 W Broadway, Louisville, KY 40211",kroger.com,(502) 778-3346,,3.5,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2663097,-85.8699528,Supermarkets/Full-Service Groceries in Louisville 40207
Kroger · Visited link,"520 N 35th St, Louisville, KY 40212",kroger.com,(502) 776-3713,,3.9,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2663097,-85.8699528,Supermarkets/Full-Service Groceries in Louisville 40207
Scheler's Food Market · Visited link,"1397 S 2nd St St, Louisville, KY 40208",,(502) 635-2779,,4.1,"·
Delivery",38.2289827,-85.8299344,Supermarkets/Full-Service Groceries in Louisville 40207
5 Brothers Grocery & Smokeshop · Visited link,"1159 S 4th St, Louisville, KY 40203",,(502) 919-8483,,4.0,,38.2289827,-85.8299344,Supermarkets/Full-Service Groceries in Louisville 40207
4 Point Grocery · Visited link,"1035 S 3rd St, Louisville, KY 40203",,(502) 409-9155,,4.5,,38.2289827,-85.8299344,Supermarkets/Full-Service Groceries in Louisville 40207
Sunshine Grocery · Visited link,"125 E Oak St, Louisville, KY 40203",,(502) 561-9225,,4.4,,38.2289827,-85.8299344,Supermarkets/Full-Service Groceries in Louisville 40207
Kader's Market · Visited link,"4100 W Muhammad Ali Blvd, Louisville, KY 40212",kaders-market.keeq.io,(502) 776-2111,,4.4,"·
In-store shopping",38.2577502,-85.8909323,Supermarkets/Full-Service Groceries in Louisville 40207
Kroger · Visited link,"3165 S 2nd St, Louisville, KY 40208",kroger.com,(502) 368-6075,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2025849,-85.8334602,Supermarkets/Full-Service Groceries in Louisville 40207
Save A Lot · Visited link,"2626 Portland Ave, Louisville, KY 40212",savealot.com,(502) 772-0705,,4.1,"·
In-store shopping
·
Delivery",38.2708787,-85.8636677,Supermarkets/Full-Service Groceries in Louisville 40207
ALDI · Visited link,"3442 Preston Hwy, Louisville, KY 40213",stores.aldi.us,(855) 955-2534,,4.5,"Retail chain selling a range of grocery items, meat & dairy.",38.194908,-85.802991,Supermarkets/Full-Service Groceries in Louisville 40207
Kroger · Visited link,"1265 Goss Ave, Louisville, KY 40217",kroger.com,(502) 634-0724,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.194908,-85.802991,Supermarkets/Full-Service Groceries in Louisville 40207
Mr. Zee Corner Market · Visited link,"358 N 26th St, Louisville, KY 40212",mr-zee-corner-market.edan.io,(502) 772-1623,,4.6,,38.2659587,-85.8652517,Supermarkets/Full-Service Groceries in Louisville 40207
Kroger · Visited link,"2200 Brownsboro Rd, Louisville, KY 40206",kroger.com,(502) 897-1133,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2578606,-85.7763335,Supermarkets/Full-Service Groceries in Louisville 40207
Webb's Market · Visited link,"944 E Muhammad Ali Blvd, Louisville, KY 40204",,(502) 583-0318,,4.1,,38.2578606,-85.7763335,Supermarkets/Full-Service Groceries in Louisville 40207
