name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Kroger · Visited link,,,,,,,38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Family Dollar · Visited link,"790 Eastern Pkwy, Louisville, KY 40217",familydollar.com,(502) 438-9318,,3.4,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Walgreens · Visited link,"808 Eastern Pkwy, Louisville, KY 40217",walgreens.com,(502) 637-7612,,2.8,"Drugstore chain with health & beauty aids, prescriptions & photo services, plus mini-mart basics.",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Oscar's Germantown Hardware · Visited link,"1515 S Shelby St, Louisville, KY 40217",oscarshardware.com,(502) 636-3621,,4.7,"Old-school neighborhood hardware store selling tools, home-improvement supplies & lawn/garden items.",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Dollar Tree · Visited link,"Former Dry Cleaners, 2929 Preston Hwy, Louisville, KY 40217",dollartree.com,(502) 632-6237,,3.9,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
What The LOU · Visited link,"1101 Goss Ave, Louisville, KY 40217",,(502) 741-8452,,4.9,,38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Green Store · Visited link,"301 S 18th St, Louisville, KY 40203",,(502) 585-2429,,4.0,,38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Duluth Trading Company · Visited link,"111 W Main St #115, Louisville, KY 40202",duluthtrading.com,(502) 890-8222,,4.5,"·
In-store shopping
·
Curbside pickup",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Dollar General · Visited link,"1631 W Market St, Louisville, KY 40203",dollargeneral.com,(502) 792-0270,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Kroger · Visited link,"3165 S 2nd St, Louisville, KY 40208",kroger.com,(502) 368-6075,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Stop N Go Smokes & Liquor · Visited link,"427 Warnock St, Louisville, KY 40217",,(502) 635-4844,,4.0,"·
Delivery",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Shop of Found Things · Visited link,"808 Clarks Ln, Louisville, KY 40217",shopoffoundthings.shop,(502) 333-0890,,5.0,"·
In-store shopping
·
In-store pickup",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
DG Market · Visited link,"200 E Broadway, Louisville, KY 40202",dollargeneral.com,(502) 276-7912,,3.1,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
GQ Unlimited · Visited link,"728 W Broadway, Louisville, KY 40202",gqunlimited.com,(502) 614-7774,,4.6,"Longtime menswear store selling suits, dress shirts, shoes & other traditional apparel.",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
ALDI · Visited link,"3442 Preston Hwy, Louisville, KY 40213",stores.aldi.us,(855) 955-2534,,4.5,"Retail chain selling a range of grocery items, meat & dairy.",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Walmart Supercenter · Visited link,"175 Outer Loop, Louisville, KY 40214",walmart.com,(502) 361-0225,,3.8,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
High 5 Smoke Shop · Visited link,"796 Eastern Pkwy, Louisville, KY 40217",,(502) 749-7036,,4.4,"·
In-store shopping",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Dollar Tree · Visited link,"700 Algonquin Pkwy WAGS, Louisville, KY 40208",dollartree.com,(502) 536-7790,,3.9,"·
In-store shopping",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Dollar General · Visited link,"409 W Oak St, Louisville, KY 40203",dollargeneral.com,(502) 665-0698,,2.6,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Shaheen's Department Store · Visited link,"2604 Portland Ave, Louisville, KY 40212",shaheens.com,(502) 778-9741,,4.5,,38.2041947,-85.9449345,Recently Closed Stores in Louisville 40217
Artist & Craftsman Supply Louisville · Visited link,"1002 Barret Ave, Louisville, KY 40204",artistcraftsman.com,(502) 459-4677,,4.8,"Creative supplies for artists & crafters, from painting & sculpting to bookbinding & origami.",38.23619,-85.8727967,Recently Closed Stores in Louisville 40217
Liquor Island · Visited link,"2703 Preston Hwy, Louisville, KY 40217",gotoliquorstore.com,(502) 409-6369,,4.4,"·
In-store shopping",38.23619,-85.8727967,Recently Closed Stores in Louisville 40217
Home Center Department Store KY #2 · Visited link,"1148 S 4th St, Louisville, KY 40203",,(502) 384-5385,,4.3,"·
In-store pickup
·
Delivery",38.23619,-85.8727967,Recently Closed Stores in Louisville 40217
LOUISVILLE THRIFT STORE · Visited link,"331 N 19th St, Louisville, KY 40203",facebook.com,(502) 912-3386,,4.6,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.23619,-85.8727967,Recently Closed Stores in Louisville 40217
Ace Hardware of Louisville · Visited link,"3348 Taylor Blvd, Louisville, KY 40215",acehardware.shoplocal.com,(502) 618-4081,,4.3,"Hardware store stocking household tools, garden supplies, home decor & more.",38.23619,-85.8727967,Recently Closed Stores in Louisville 40217
Dongar Food Mart & Deli · Visited link,"3348 Taylor Blvd, Louisville, KY 40215",acehardware.shoplocal.com,(502) 618-4081,,4.3,"Hardware store stocking household tools, garden supplies, home decor & more.",38.23619,-85.8727967,Recently Closed Stores in Louisville 40217
Rainbow Shops · Visited link,"1397 S 2nd St St, Louisville, KY 40208",,(502) 635-2779,,3.9,,38.23619,-85.8727967,Recently Closed Stores in Louisville 40217
Speedway · Visited link,"1422 Poplar Level Rd, Louisville, KY 40217",speedway.com,(502) 637-7198,,3.5,"Gas-station & convenience-store chain with grab-&-go food, plus hot & cold beverages.",38.23619,-85.8727967,Recently Closed Stores in Louisville 40217
Kroger · Visited link,"2710 W Broadway, Louisville, KY 40211",kroger.com,(502) 778-3346,,3.5,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2485445,-85.9411124,Recently Closed Stores in Louisville 40217
Forage · Visited link,"1201 Goss Ave Suite 2, Louisville, KY 40217",foragegreenliving.com,(502) 290-1364,,4.8,"·
In-store shopping",38.2485445,-85.9411124,Recently Closed Stores in Louisville 40217
Westenhofer Hardware · Visited link,"2402 S Preston St, Louisville, KY 40217",m.facebook.com,(502) 634-0800,,4.5,,38.2485445,-85.9411124,Recently Closed Stores in Louisville 40217
Dollar Tree · Visited link,"2815 W Broadway Village, Louisville, KY 40211",dollartree.com,(502) 822-7891,,3.8,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2485445,-85.9411124,Recently Closed Stores in Louisville 40217
Bargain Supply Company · Visited link,"844 E Jefferson St, Louisville, KY 40206",bargainsupply.com,(502) 562-5000,,4.7,"Roomy appliance store stocking washers, refrigerators & other essentials, plus tools & electronics.",38.2485445,-85.9411124,Recently Closed Stores in Louisville 40217
O'Reilly Auto Parts · Visited link,"3010 Preston Hwy, Louisville, KY 40217",locations.oreillyauto.com,(502) 272-3032,,4.4,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2485445,-85.9411124,Recently Closed Stores in Louisville 40217
4 Point Grocery · Visited link,"1035 S 3rd St, Louisville, KY 40203",,(502) 409-9155,,4.5,,38.2485445,-85.9411124,Recently Closed Stores in Louisville 40217
