name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Kroger · Visited link,,,,,,,38.2672513,-85.8218848,Supermarkets/Full-Service Groceries in Louisville 40214
Kroger · Visited link,"520 N 35th St, Louisville, KY 40212",kroger.com,(502) 776-3713,,3.9,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2703575,-85.8415917,Supermarkets/Full-Service Groceries in Louisville 40214
Kader's Market · Visited link,"4100 W Muhammad Ali Blvd, Louisville, KY 40212",kaders-market.keeq.io,(502) 776-2111,,4.4,"·
In-store shopping",38.2703575,-85.8415917,Supermarkets/Full-Service Groceries in Louisville 40214
Save A Lot · Visited link,"2626 Portland Ave, Louisville, KY 40212",savealot.com,(502) 772-0705,,4.1,"·
In-store shopping
·
Delivery",38.2703575,-85.8415917,Supermarkets/Full-Service Groceries in Louisville 40214
2 Brothers market · Visited link,"438 N 28th St, Louisville, KY 40212",,(502) 742-5494,,4.5,,38.2703575,-85.8415917,Supermarkets/Full-Service Groceries in Louisville 40214
Mr. Zee Corner Market · Visited link,"358 N 26th St, Louisville, KY 40212",mr-zee-corner-market.edan.io,(502) 772-1623,,4.6,,38.2703575,-85.8415917,Supermarkets/Full-Service Groceries in Louisville 40214
Dino's Food Mart · Visited link,"2601 W Broadway, Louisville, KY 40211",,(502) 774-4333,,3.8,"·
Delivery",38.2703575,-85.8415917,Supermarkets/Full-Service Groceries in Louisville 40214
Kroger · Visited link,"4211 S 3rd St, Louisville, KY 40214",kroger.com,(502) 368-3065,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.1949549,-85.8006799,Supermarkets/Full-Service Groceries in Louisville 40214
Lucy Mae's Food Mart & Kitchen · Visited link,"2300 W Kentucky St suite 1, Louisville, KY 40210",,(502) 290-9291,,4.6,"·
Delivery",38.2421669,-85.8280534,Supermarkets/Full-Service Groceries in Louisville 40214
Kroger · Visited link,"1265 Goss Ave, Louisville, KY 40217",kroger.com,(502) 634-0724,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2264998,-85.7665059,Supermarkets/Full-Service Groceries in Louisville 40214
Shorty's Food Mart · Visited link,"1711 W Broadway, Louisville, KY 40203",,(502) 583-0014,,4.0,,38.2493179,-85.816665,Supermarkets/Full-Service Groceries in Louisville 40214
ValuMarket Mid City Mall · Visited link,"1250 Bardstown Rd #1, Louisville, KY 40204",valumarket.com,(502) 459-2221,,4.3,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2347644,-85.7538097,Supermarkets/Full-Service Groceries in Louisville 40214
Webb's Market · Visited link,"944 E Muhammad Ali Blvd, Louisville, KY 40204",,(502) 583-0318,,4.1,,38.2485922,-85.7709544,Supermarkets/Full-Service Groceries in Louisville 40214
Kroger · Visited link,"3616 Buechel Bypass, Louisville, KY 40218",kroger.com,(502) 456-6522,,3.9,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.1981568,-85.699756,Supermarkets/Full-Service Groceries in Louisville 40214
Dollar General · Visited link,"2324 W Broadway, Louisville, KY 40211",dollargeneral.com,(502) 785-8326,,3.7,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2490622,-85.8274636,Supermarkets/Full-Service Groceries in Louisville 40214
