name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
ALDI,"3442 Preston Hwy, Louisville, KY 40213",stores.aldi.us,(855) 955-2534,,4.5,"Retail chain selling a range of grocery items, meat & dairy.",38.194908,-85.802991,Supermarkets/Full-Service Groceries in Louisville 40206
Whole Foods Market,"4944 Shelbyville Rd, Louisville, KY 40207",wholefoodsmarket.com,(502) 899-5545,,4.4,"Eco-minded chain with natural & organic grocery items, housewares & other products (most sell wine).",38.248632,-85.6980794,Supermarkets/Full-Service Groceries in Louisville 40206
ALDI · Visited link,"3442 Preston Hwy, Louisville, KY 40213",stores.aldi.us,(855) 955-2534,,4.5,"Retail chain selling a range of grocery items, meat & dairy.",38.194908,-85.802991,Supermarkets/Full-Service Groceries in Louisville 40206
Kroger · Visited link,"4009 Poplar Level Rd, Louisville, KY 40213",kroger.com,(502) 454-3914,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.194908,-85.802991,Supermarkets/Full-Service Groceries in Louisville 40206
Kroger · Visited link,"1265 Goss Ave, Louisville, KY 40217",kroger.com,(502) 634-0724,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.194908,-85.802991,Supermarkets/Full-Service Groceries in Louisville 40206
Kroger · Visited link,"2440 Bardstown Rd, Louisville, KY 40205",kroger.com,(502) 459-9805,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.223086,-85.7593739,Supermarkets/Full-Service Groceries in Louisville 40206
ValuMarket Mid City Mall · Visited link,"1250 Bardstown Rd #1, Louisville, KY 40204",valumarket.com,(502) 459-2221,,4.3,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.223086,-85.7593739,Supermarkets/Full-Service Groceries in Louisville 40206
Whole Foods Market · Visited link,"4944 Shelbyville Rd, Louisville, KY 40207",wholefoodsmarket.com,(502) 899-5545,,4.4,"Eco-minded chain with natural & organic grocery items, housewares & other products (most sell wine).",38.248632,-85.6980794,Supermarkets/Full-Service Groceries in Louisville 40206
Kroger · Visited link,"3039 Breckenridge Ln, Louisville, KY 40220",kroger.com,(502) 452-6445,,3.9,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.248632,-85.6980794,Supermarkets/Full-Service Groceries in Louisville 40206
Supermercado Guanajuato #2 · Visited link,"6201 Preston Hwy Ste B, Louisville, KY 40219",supermercadoguanajuato.com,(502) 498-5088,,4.3,,38.1609901,-85.7684032,Supermarkets/Full-Service Groceries in Louisville 40206
Kroger Marketplace · Visited link,"9080 Taylorsville Rd, Louisville, KY 40299",kroger.com,(502) 491-8805,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2126359,-85.6640978,Supermarkets/Full-Service Groceries in Louisville 40206
Foodmax Inc · Visited link,"800 E Kentucky St, Louisville, KY 40204",,(502) 634-0605,,3.9,,38.2367946,-85.8127382,Supermarkets/Full-Service Groceries in Louisville 40206
Oriental Supermarket · Visited link,"1211 Gilmore Ln, Louisville, KY 40213",,(502) 966-0400,,4.4,,38.1757318,-85.7838994,Supermarkets/Full-Service Groceries in Louisville 40206
Kroger · Visited link,"2200 Brownsboro Rd, Louisville, KY 40206",kroger.com,(502) 897-1133,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2578606,-85.7763335,Supermarkets/Full-Service Groceries in Louisville 40206
Trader Joe's · Visited link,"4600 Shelbyville Rd #111, Louisville, KY 40207",locations.traderjoes.com,(502) 895-1361,,4.7,"Grocery chain with a variety of signature items, plus produce, dairy & more (most sell wine & beer).",38.2500898,-85.7034683,Supermarkets/Full-Service Groceries in Louisville 40206
Kroger · Visited link,"4501 Outer Loop, Louisville, KY 40219",kroger.com,(502) 969-2855,,3.9,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.1399151,-85.7515741,Supermarkets/Full-Service Groceries in Louisville 40206
Meijer · Visited link,"4500 S Hurstbourne Pkwy, Louisville, KY 40299",meijer.com,(502) 493-4900,,4.2,"Chain retailer featuring brand-name groceries plus apparel, electronics & more.",38.1881229,-85.6796198,Supermarkets/Full-Service Groceries in Louisville 40206
Kroger · Visited link,"3616 Buechel Bypass, Louisville, KY 40218",kroger.com,(502) 456-6522,,3.9,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.1981568,-85.7358049,Supermarkets/Full-Service Groceries in Louisville 40206
Frank's Meat & Produce · Visited link,"3342 Preston Hwy, Louisville, KY 40213",franksmeatsandproduce.com,(502) 363-3989,,4.8,"·
In-store shopping
·
Curbside pickup",38.1984772,-85.8044461,Supermarkets/Full-Service Groceries in Louisville 40206
The Fresh Market · Visited link,"1805 Rudy Ln, Louisville, KY 40207",stores.thefreshmarket.com,(502) 895-7593,,4.4,"Upscale grocery store chain with an old-world vibe offers local produce, prepared eats, wine & more.",38.27963,-85.7099718,Supermarkets/Full-Service Groceries in Louisville 40206
Webb's Market · Visited link,"944 E Muhammad Ali Blvd, Louisville, KY 40204",,(502) 583-0318,,4.1,,38.2485922,-85.8070033,Supermarkets/Full-Service Groceries in Louisville 40206
Garden Gate Fruit Market · Visited link,"4411 Breckenridge Ln, Louisville, KY 40218",gardengatemarket.com,(502) 499-5275,,4.6,"·
In-store shopping",38.1816702,-85.6982168,Supermarkets/Full-Service Groceries in Louisville 40206
Supermarket & Taqueria - La Rosita · Visited link,"5059 Preston Hwy, Louisville, KY 40213",,(502) 618-2883,,4.2,,38.1757271,-85.7845136,Supermarkets/Full-Service Groceries in Louisville 40206
Kroger · Visited link,"3165 S 2nd St, Louisville, KY 40208",kroger.com,(502) 368-6075,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2025849,-85.8334602,Supermarkets/Full-Service Groceries in Louisville 40206
Supermercado Guanajuato #3 · Visited link,"5624 Bardstown Rd, Louisville, KY 40291",supermercadoguanajuato.com,(502) 709-5131,,4.3,,38.163042,-85.6705339,Supermarkets/Full-Service Groceries in Louisville 40206
Kroger · Visited link,"6900 Bardstown Rd, Louisville, KY 40291",kroger.com,(502) 239-2115,,4.0,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.163042,-85.6705339,Supermarkets/Full-Service Groceries in Louisville 40206
Kroger · Visited link,"291 N Hubbards Ln #130, St Matthews, KY 40207",kroger.com,(502) 895-8332,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.25834,-85.7088959,Supermarkets/Full-Service Groceries in Louisville 40206
Sunshine Grocery · Visited link,"125 E Oak St, Louisville, KY 40203",,(502) 561-9225,,4.4,,38.2345734,-85.826138,Supermarkets/Full-Service Groceries in Louisville 40206
Valu Market Outer Loop Plaza · Visited link,"7519 Outer Loop, Louisville, KY 40228",valumarket.com,(502) 239-7375,,4.2,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.1388889,-85.6923756,Supermarkets/Full-Service Groceries in Louisville 40206
Walmart Neighborhood Market · Visited link,"143 Thierman Ln, St Matthews, KY 40207",walmart.com,(502) 893-8088,,4.2,"·
Drive-through
·
No-contact delivery
·
Dine-in",38.2536774,-85.7163144,Supermarkets/Full-Service Groceries in Louisville 40206
Al sham markets أسواق الشام · Visited link,"3819 Bardstown Rd ste b, Louisville, KY 40218",,(502) 749-0066,,4.8,"·
In-store shopping
·
In-store pickup",38.1964702,-85.726302,Supermarkets/Full-Service Groceries in Louisville 40206
