name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Dollar General · Visited link,,,,,,,38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
"DERBY DOLLAR STORE, LLC · Visited link","5057 Poplar Level Rd, Louisville, KY 40219",,,,,,38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Dollar Tree · Visited link,"2815 W Broadway Village, Louisville, KY 40211",dollartree.com,(502) 822-7891,,3.8,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Dollar Tree · Visited link,"700 Algonquin Pkwy WAGS, Louisville, KY 40208",dollartree.com,(502) 536-7790,,3.9,"·
In-store shopping",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
DG Market · Visited link,"200 E Broadway, Louisville, KY 40202",dollargeneral.com,(502) 276-7912,,3.1,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Dollar Tree · Visited link,"Former Dry Cleaners, 2929 Preston Hwy, Louisville, KY 40217",dollartree.com,(502) 632-6237,,3.9,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Dollar General · Visited link,"1631 W Market St, Louisville, KY 40203",dollargeneral.com,(502) 792-0270,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Dollar Tree · Visited link,"4121 Shelbyville Rd St Matthews Pavilion, Louisville, KY 40207",dollartree.com,(502) 710-0545,,4.3,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Dollar General · Visited link,"409 W Oak St, Louisville, KY 40203",dollargeneral.com,(502) 665-0698,,2.6,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Dollar Tree · Visited link,"Southland Terrace, 3923 7th Street Rd, Louisville, KY 40216",dollartree.com,(502) 901-6988,,4.0,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Dollar General · Visited link,"7427 3rd Street Rd, Louisville, KY 40214",dollargeneral.com,(502) 785-5290,,3.9,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Dollar General · Visited link,"2817 Del Rio Pl, Louisville, KY 40220",dollargeneral.com,(502) 805-5206,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Family Dollar · Visited link,"1234 W Broadway, Louisville, KY 40203",familydollar.com,(502) 495-3591,,3.5,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Dollar Tree · Visited link,"5532 New Cut Rd, Louisville, KY 40214",dollartree.com,(502) 912-6003,,4.2,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Family Dollar · Visited link,"790 Eastern Pkwy, Louisville, KY 40217",familydollar.com,(502) 438-9318,,3.4,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Dollar General · Visited link,"2324 W Broadway, Louisville, KY 40211",dollargeneral.com,(502) 785-8326,,3.7,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Dollar Tree · Visited link,"165 Outer Loop, 127 New Cut Rd MktCtr, Louisville, KY 40214",dollartree.com,(502) 654-8740,,4.3,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Family Dollar · Visited link,"2124 Bank St, Louisville, KY 40212",familydollar.com,(502) 208-2845,,3.8,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Family Dollar · Visited link,"1419 W Jefferson St, Louisville, KY 40203",familydollar.com,(502) 302-6513,,3.5,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
Dollar Tree · Visited link,"2221 Hikes Lane Bardstown Square, Louisville, KY 40218",dollartree.com,(502) 715-4281,,3.6,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2468027,-86.0465051,Dollar/Discount Stores in Louisville 40202
