name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
ALDI,"3118 Grant Line Rd, New Albany, IN 47150",stores.aldi.us,(855) 955-2534,,4.6,"Retail chain selling a range of grocery items, meat & dairy.",38.3071529,-86.0328176,Small Groceries in Louisville 40203
Neighborhood Food Mart Inc · Visited link,"542 Lampton St, Louisville, KY 40203",,(502) 583-2762,,4.6,,38.3071529,-86.0328176,Small Groceries in Louisville 40203
Sunshine Grocery · Visited link,"125 E Oak St, Louisville, KY 40203",,(502) 561-9225,,4.4,,38.3071529,-86.0328176,Small Groceries in Louisville 40203
Food Market & South Floyd Tbcc · Visited link,"1271 S Floyd St, Louisville, KY 40203",,(502) 290-1161,,3.8,,38.3071529,-86.0328176,Small Groceries in Louisville 40203
Oasis Grocery Mart & Head Shop&smokers oasis · Visited link,"1032 S 4th St, Louisville, KY 40203",,(502) 837-0582,,4.1,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.3071529,-86.0328176,Small Groceries in Louisville 40203
4 Point Grocery · Visited link,"1035 S 3rd St, Louisville, KY 40203",,(502) 409-9155,,4.5,,38.3071529,-86.0328176,Small Groceries in Louisville 40203
Foodmax Inc · Visited link,"800 E Kentucky St, Louisville, KY 40204",,(502) 634-0605,,3.9,,38.3071529,-86.0328176,Small Groceries in Louisville 40203
Green Store · Visited link,"301 S 18th St, Louisville, KY 40203",,(502) 585-2429,,4.0,,38.3071529,-86.0328176,Small Groceries in Louisville 40203
5 Brothers Grocery & Smokeshop · Visited link,"1159 S 4th St, Louisville, KY 40203",,(502) 919-8483,,4.0,,38.3071529,-86.0328176,Small Groceries in Louisville 40203
Webb's Market · Visited link,"944 E Muhammad Ali Blvd, Louisville, KY 40204",,(502) 583-0318,,4.1,,38.3071529,-86.0328176,Small Groceries in Louisville 40203
Scheler's Food Market · Visited link,"1397 S 2nd St St, Louisville, KY 40208",,(502) 635-2779,,4.1,"·
Delivery",38.3071529,-86.0328176,Small Groceries in Louisville 40203
Trader Joe's · Visited link,"4600 Shelbyville Rd #111, Louisville, KY 40207",locations.traderjoes.com,(502) 895-1361,,4.7,"Grocery chain with a variety of signature items, plus produce, dairy & more (most sell wine & beer).",38.3071529,-86.0328176,Small Groceries in Louisville 40203
Whole Foods Market · Visited link,"4944 Shelbyville Rd, Louisville, KY 40207",wholefoodsmarket.com,(502) 899-5545,,4.4,"Eco-minded chain with natural & organic grocery items, housewares & other products (most sell wine).",38.3071529,-86.0328176,Small Groceries in Louisville 40203
ValuMarket Mid City Mall · Visited link,"1250 Bardstown Rd #1, Louisville, KY 40204",valumarket.com,(502) 459-2221,,4.3,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.3071529,-86.0328176,Small Groceries in Louisville 40203
The Fresh Market · Visited link,"1805 Rudy Ln, Louisville, KY 40207",stores.thefreshmarket.com,(502) 895-7593,,4.4,"Upscale grocery store chain with an old-world vibe offers local produce, prepared eats, wine & more.",38.3071529,-86.0328176,Small Groceries in Louisville 40203
Kroger Mobile Market · Visited link,"East Muhammad Ali Boulevard &, S Jackson St, Louisville, KY",,,,,,38.3071529,-86.0328176,Small Groceries in Louisville 40203
Paul's Fruit Market · Visited link,"3922 Chenoweth Square, Louisville, KY 40207",paulsfruit.com,(502) 896-8918,,4.8,"·
In-store shopping
·
In-store pickup",38.3071529,-86.0328176,Small Groceries in Louisville 40203
Save A Lot · Visited link,"2626 Portland Ave, Louisville, KY 40212",savealot.com,(502) 772-0705,,4.1,"·
In-store shopping
·
Delivery",38.3071529,-86.0328176,Small Groceries in Louisville 40203
Tiny Mart · Visited link,"3337 Greenwood Ave, Louisville, KY 40211",tiny-mart.edan.io,(502) 822-3616,,4.5,"·
In-store shopping",38.3071529,-86.0328176,Small Groceries in Louisville 40203
Kroger · Visited link,"2200 Brownsboro Rd, Louisville, KY 40206",kroger.com,(502) 897-1133,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.3071529,-86.0328176,Small Groceries in Louisville 40203
Kroger · Visited link,"1265 Goss Ave, Louisville, KY 40217",kroger.com,(502) 634-0724,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.3071529,-86.0328176,Small Groceries in Louisville 40203
Kroger · Visited link,"520 N 35th St, Louisville, KY 40212",kroger.com,(502) 776-3713,,3.9,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.3071529,-86.0328176,Small Groceries in Louisville 40203
Kroger · Visited link,"3165 S 2nd St, Louisville, KY 40208",kroger.com,(502) 368-6075,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.3071529,-86.0328176,Small Groceries in Louisville 40203
Fantastic Market · Visited link,"2600 Bank St, Louisville, KY 40212",,(502) 690-4114,,4.3,,38.3071529,-86.0328176,Small Groceries in Louisville 40203
Kroger · Visited link,"2710 W Broadway, Louisville, KY 40211",kroger.com,(502) 778-3346,,3.5,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.3071529,-86.0328176,Small Groceries in Louisville 40203
ALDI · Visited link,"3442 Preston Hwy, Louisville, KY 40213",stores.aldi.us,(855) 955-2534,,4.5,"Retail chain selling a range of grocery items, meat & dairy.",38.3071529,-86.0328176,Small Groceries in Louisville 40203
Bourbon Barrel Foods - Tour and Taste · Visited link,"1201 Story Ave #175, Louisville, KY 40206",bourbonbarrelfoods.com,(502) 618-0939,,4.8,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.3071529,-86.0328176,Small Groceries in Louisville 40203
Mr. Zee Corner Market · Visited link,"358 N 26th St, Louisville, KY 40212",mr-zee-corner-market.edan.io,(502) 772-1623,,4.6,,38.3071529,-86.0328176,Small Groceries in Louisville 40203
Save A Lot · Visited link,"1804 Dixie Hwy, Louisville, KY 40210",savealot.com,(502) 774-1464,,4.0,Discount supermarket chain carrying brand-name & private-label grocery items.,38.3071529,-86.0328176,Small Groceries in Louisville 40203
Golden Key International Grocery Store · Visited link,"3821 Bardstown Rd, Louisville, KY 40218",goldenkeymarket.com,(502) 485-9009,,4.7,,38.3071529,-86.0328176,Small Groceries in Louisville 40203
Kroger · Visited link,"4009 Poplar Level Rd, Louisville, KY 40213",kroger.com,(502) 454-3914,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.3071529,-86.0328176,Small Groceries in Louisville 40203
Butchertown Grocery Bakery · Visited link,"743 E Main St, Louisville, KY 40202",instagram.com,(502) 742-8315 ext. 2,,4.6,,38.3071529,-86.0328176,Small Groceries in Louisville 40203
