name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Community Foundation of Southern Indiana · Visited link,"4108 Charlestown Rd, New Albany, IN 47150",cfsouthernindiana.com,(812) 948-4662,,4.3,,38.3671356,-85.9721891,Food Justice Organizations in New Albany 47150
Hope Southern Indiana - Food Pantry · Visited link,"1200 Bono Rd, New Albany, IN 47150",hopesi.org,(812) 948-9248,,4.8,,38.296197,-86.1149568,Food Justice Organizations in New Albany 47150
Hope Southern Indiana · Visited link,"1200 Bono Rd, New Albany, IN 47150",hopesi.org,(812) 948-9248,,4.6,,38.296197,-86.1149568,Food Justice Organizations in New Albany 47150
Hour of Power - Food Distribution Center · Visited link,"108 W Main St, New Albany, IN 47150",,(812) 945-1937,,,,38.296197,-86.1149568,Food Justice Organizations in New Albany 47150
Salvation Army · Visited link,"2300 Green Valley Rd, New Albany, IN 47150",salvationarmyusa.org,(812) 944-1018,,4.4,,38.296197,-86.1149568,Food Justice Organizations in New Albany 47150
Develop New Albany · Visited link,"406 Pearl St, New Albany, IN 47150",developnewalbany.org,(812) 941-0018,,5.0,,38.296197,-86.1149568,Food Justice Organizations in New Albany 47150
Revelation Tabernacle - Food Distribution Center · Visited link,"602 W Market St, New Albany, IN 47150",,(812) 697-6754,,,,38.296197,-86.1149568,Food Justice Organizations in New Albany 47150
Revelation Tabernacle · Visited link,"602 W Market St, New Albany, IN 47150",,,,4.5,,38.296197,-86.1149568,Food Justice Organizations in New Albany 47150
