name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Dollar General · Visited link,,,,,,,38.1677813,-85.7742162,Dollar/Discount Stores in Louisville 40208
Dollar Tree · Visited link,"700 Algonquin Pkwy WAGS, Louisville, KY 40208",dollartree.com,(502) 536-7790,,3.9,"·
In-store shopping",38.2112848,-85.8425711,Dollar/Discount Stores in Louisville 40208
Dollar Tree · Visited link,"Former Dry Cleaners, 2929 Preston Hwy, Louisville, KY 40217",dollartree.com,(502) 632-6237,,3.9,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2112848,-85.8425711,Dollar/Discount Stores in Louisville 40208
Dollar General · Visited link,"7500 Terry Rd, Louisville, KY 40258",dollargeneral.com,(502) 632-7071,,5.0,"·
Delivery",38.1441613,-85.9446308,Dollar/Discount Stores in Louisville 40208
Family Dollar · Visited link,"790 Eastern Pkwy, Louisville, KY 40217",familydollar.com,(502) 438-9318,,3.4,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2140395,-85.8150439,Dollar/Discount Stores in Louisville 40208
Dollar General · Visited link,"1207 Gilmore Ln, Louisville, KY 40213",dollargeneral.com,(502) 785-0740,,3.7,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2140395,-85.8150439,Dollar/Discount Stores in Louisville 40208
Dollar General · Visited link,"4207 Medallion Ct, Louisville, KY 40219",dollargeneral.com,(502) 632-7085,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.1668836,-85.7545666,Dollar/Discount Stores in Louisville 40208
Dollar General · Visited link,"3808 7th Street Rd, Louisville, KY 40216",dollargeneral.com,(502) 792-9639,,3.9,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.1954257,-85.874966,Dollar/Discount Stores in Louisville 40208
Dollar General · Visited link,"7427 3rd Street Rd, Louisville, KY 40214",dollargeneral.com,(502) 785-5290,,3.9,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.1437914,-85.8490659,Dollar/Discount Stores in Louisville 40208
Dollar General · Visited link,"4443 Cane Run Rd Ste 150, Louisville, KY 40216",dollargeneral.com,(502) 214-7871,,3.9,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.1951676,-85.9122194,Dollar/Discount Stores in Louisville 40208
Dollar Smart · Visited link,"4110 Taylor Blvd, Louisville, KY 40215",,(502) 368-9383,,4.2,,38.182429,-85.8562698,Dollar/Discount Stores in Louisville 40208
Dollar General · Visited link,"8517 Terry Rd, Louisville, KY 40258",dollargeneral.com,(502) 785-0535,,3.7,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.13029,-85.9462738,Dollar/Discount Stores in Louisville 40208
Dollar General · Visited link,"2817 Del Rio Pl, Louisville, KY 40220",dollargeneral.com,(502) 805-5206,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2147094,-85.7269438,Dollar/Discount Stores in Louisville 40208
Dollar General · Visited link,"2701 Dixie Hwy, Louisville, KY 40216",dollargeneral.com,(502) 632-6780,,3.9,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.211008,-85.8690537,Dollar/Discount Stores in Louisville 40208
Dollar General · Visited link,"3517 Cane Run Rd, Louisville, KY 40211",dollargeneral.com,(502) 805-6985,,3.9,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.211008,-85.8690537,Dollar/Discount Stores in Louisville 40208
DG Market · Visited link,"200 E Broadway, Louisville, KY 40202",dollargeneral.com,(502) 276-7912,,3.1,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.24522,-85.8234408,Dollar/Discount Stores in Louisville 40208
Dollar General Market · Visited link,"3430 Taylor Blvd, Louisville, KY 40215",dollargeneral.com,(502) 438-9080,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.1980574,-85.8559411,Dollar/Discount Stores in Louisville 40208
Family Dollar · Visited link,"Southland Shp Ctr, 6621 Southside Dr, Louisville, KY 40214",familydollar.com,(502) 822-7938,,3.7,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.1980574,-85.8559411,Dollar/Discount Stores in Louisville 40208
Dollar General · Visited link,"8715 3rd Street Rd, Louisville, KY 40272",dollargeneral.com,(502) 791-9780,,3.9,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.1161321,-85.8831864,Dollar/Discount Stores in Louisville 40208
Dollar General · Visited link,"7850 Dixie Hwy, Louisville, KY 40258",dollargeneral.com,(502) 791-9195,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.1365278,-85.9166985,Dollar/Discount Stores in Louisville 40208
