name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
"DERBY DOLLAR STORE, LLC · Visited link",,,,,,,38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Family Dollar · Visited link,"790 Eastern Pkwy, Louisville, KY 40217",familydollar.com,(502) 438-9318,,3.4,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar Tree · Visited link,"Former Dry Cleaners, 2929 Preston Hwy, Louisville, KY 40217",dollartree.com,(502) 632-6237,,3.9,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar Tree · Visited link,"700 Algonquin Pkwy WAGS, Louisville, KY 40208",dollartree.com,(502) 536-7790,,3.9,"·
In-store shopping",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar General · Visited link,"2701 S 4th St, Louisville, KY 40208",dollargeneral.com,(502) 792-0689,,4.0,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar Tree · Visited link,"5713 Preston Hwy, E Indian Trail, Louisville, KY 40219",dollartree.com,(502) 579-8460,,3.8,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar General · Visited link,"1631 W Market St, Louisville, KY 40203",dollargeneral.com,(502) 792-0270,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar General · Visited link,"4207 Medallion Ct, Louisville, KY 40219",dollargeneral.com,(502) 632-7085,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar Tree · Visited link,"2815 W Broadway Village, Louisville, KY 40211",dollartree.com,(502) 822-7891,,3.8,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar Tree · Visited link,"4241 Outer Loop Tymberwood, Louisville, KY 40219",dollartree.com,(502) 715-4006,,4.0,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar General · Visited link,"409 W Oak St, Louisville, KY 40203",dollargeneral.com,(502) 665-0698,,2.6,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
DG Market · Visited link,"200 E Broadway, Louisville, KY 40202",dollargeneral.com,(502) 276-7912,,3.1,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar General · Visited link,"1207 Gilmore Ln, Louisville, KY 40213",dollargeneral.com,(502) 785-0740,,3.7,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar Tree · Visited link,"4934 Manslick Rd Former Coxs, Louisville, KY 40216",dollartree.com,(502) 313-9014,,4.0,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar Tree · Visited link,"5532 New Cut Rd, Louisville, KY 40214",dollartree.com,(502) 912-6003,,4.2,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar General Market · Visited link,"3430 Taylor Blvd, Louisville, KY 40215",dollargeneral.com,(502) 438-9080,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar Smart · Visited link,"4110 Taylor Blvd, Louisville, KY 40215",,(502) 368-9383,,4.2,,38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar Tree · Visited link,"Southland Terrace, 3923 7th Street Rd, Louisville, KY 40216",dollartree.com,(502) 901-6988,,4.0,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Dollar General · Visited link,"7427 3rd Street Rd, Louisville, KY 40214",dollargeneral.com,(502) 785-5290,,3.9,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Family Dollar · Visited link,"1234 W Broadway, Louisville, KY 40203",familydollar.com,(502) 495-3591,,3.5,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2130668,-85.8863239,Dollar/Discount Stores in Louisville 40217
Everything Dollar store · Visited link,"4443 Cane Run Rd #112, Louisville, KY 40216",,(502) 916-7231,,3.0,,38.1950756,-85.9844223,Dollar/Discount Stores in Louisville 40217
Dollar General · Visited link,"2106 Brownsboro Rd, N Clifton Ave, Louisville, KY 40206",dollargeneral.com,(502) 272-0763,,2.3,"·
Delivery",38.2583921,-85.8496634,Dollar/Discount Stores in Louisville 40217
Dollar General · Visited link,"4149 Taylor Blvd, Louisville, KY 40215",dollargeneral.com,(502) 309-9470,,3.5,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.180126,-85.9269636,Dollar/Discount Stores in Louisville 40217
