name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Neighborhood Food Mart Inc · Visited link,"542 Lampton St, Louisville, KY 40203",,(502) 583-2762,,4.6,,38.2415957,-85.8163981,Small Groceries in Louisville 40207
Sunshine Grocery · Visited link,"125 E Oak St, Louisville, KY 40203",,(502) 561-9225,,4.4,,38.2415957,-85.8163981,Small Groceries in Louisville 40207
Scheler's Food Market · Visited link,"1397 S 2nd St St, Louisville, KY 40208",,(502) 635-2779,,4.1,"·
Delivery",38.2415957,-85.8163981,Small Groceries in Louisville 40207
Oasis Grocery Mart & Head Shop&smokers oasis · Visited link,"1032 S 4th St, Louisville, KY 40203",,(502) 837-0582,,4.1,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2415957,-85.8163981,Small Groceries in Louisville 40207
Food Market & South Floyd Tbcc · Visited link,"1271 S Floyd St, Louisville, KY 40203",,(502) 290-1161,,3.8,,38.2415957,-85.8163981,Small Groceries in Louisville 40207
Foodmax Inc · Visited link,"800 E Kentucky St, Louisville, KY 40204",,(502) 634-0605,,3.9,,38.2415957,-85.8163981,Small Groceries in Louisville 40207
4 Point Grocery · Visited link,"1035 S 3rd St, Louisville, KY 40203",,(502) 409-9155,,4.5,,38.2415957,-85.8163981,Small Groceries in Louisville 40207
Green Store · Visited link,"301 S 18th St, Louisville, KY 40203",,(502) 585-2429,,4.0,,38.2559322,-85.8520188,Small Groceries in Louisville 40207
5 Brothers Grocery & Smokeshop · Visited link,"1159 S 4th St, Louisville, KY 40203",,(502) 919-8483,,4.0,,38.2559322,-85.8520188,Small Groceries in Louisville 40207
Kroger · Visited link,"3165 S 2nd St, Louisville, KY 40208",kroger.com,(502) 368-6075,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2025849,-85.8334602,Small Groceries in Louisville 40207
Kroger · Visited link,"2710 W Broadway, Louisville, KY 40211",kroger.com,(502) 778-3346,,3.5,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2485445,-85.8690146,Small Groceries in Louisville 40207
Kroger · Visited link,"520 N 35th St, Louisville, KY 40212",kroger.com,(502) 776-3713,,3.9,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2485445,-85.8690146,Small Groceries in Louisville 40207
Webb's Market · Visited link,"944 E Muhammad Ali Blvd, Louisville, KY 40204",,(502) 583-0318,,4.1,,38.2485922,-85.8070033,Small Groceries in Louisville 40207
Mr. Zee Corner Market · Visited link,"358 N 26th St, Louisville, KY 40212",mr-zee-corner-market.edan.io,(502) 772-1623,,4.6,,38.2659587,-85.8652517,Small Groceries in Louisville 40207
Taylor Boulevard Pic-Pac · Visited link,"3110 Taylor Blvd, Louisville, KY 40215",facebook.com,(502) 367-2060,,4.4,,38.2062445,-85.8490812,Small Groceries in Louisville 40207
La Popular · Visited link,"2521 7th Street Rd D, Louisville, KY 40208",,(502) 636-3688,,4.0,,38.2062445,-85.8490812,Small Groceries in Louisville 40207
Fantastic Market · Visited link,"2600 Bank St, Louisville, KY 40212",,(502) 690-4114,,4.3,,38.2692496,-85.8635323,Small Groceries in Louisville 40207
ValuMarket Mid City Mall · Visited link,"1250 Bardstown Rd #1, Louisville, KY 40204",valumarket.com,(502) 459-2221,,4.3,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2347644,-85.7898586,Small Groceries in Louisville 40207
Save A Lot · Visited link,"2626 Portland Ave, Louisville, KY 40212",savealot.com,(502) 772-0705,,4.1,"·
In-store shopping
·
Delivery",38.2708787,-85.8636677,Small Groceries in Louisville 40207
Ali's Food Mart · Visited link,"1444 Dixie Hwy, Louisville, KY 40210",,(502) 240-9567,,4.1,,38.2708787,-85.8636677,Small Groceries in Louisville 40207
Kroger · Visited link,"1265 Goss Ave, Louisville, KY 40217",kroger.com,(502) 634-0724,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2264998,-85.8025548,Small Groceries in Louisville 40207
Kroger · Visited link,"4009 Poplar Level Rd, Louisville, KY 40213",kroger.com,(502) 454-3914,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2264998,-85.8025548,Small Groceries in Louisville 40207
EZ Food Mart · Visited link,"1100 Algonquin Pkwy, Louisville, KY 40208",,(502) 690-3193,,4.7,"·
In-store pickup
·
Delivery",38.2137699,-85.8454149,Small Groceries in Louisville 40207
Save A Lot · Visited link,"1804 Dixie Hwy, Louisville, KY 40210",savealot.com,(502) 774-1464,,4.0,Discount supermarket chain carrying brand-name & private-label grocery items.,38.2137699,-85.8454149,Small Groceries in Louisville 40207
Butchertown Grocery Bakery · Visited link,"743 E Main St, Louisville, KY 40202",instagram.com,(502) 742-8315 ext. 2,,4.6,,38.2137699,-85.8454149,Small Groceries in Louisville 40207
Galan's Meat Market & Deli · Visited link,"2801 W Market St, Louisville, KY 40212",galansmeat.com,(502) 614-8514,,4.3,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2601313,-85.8697941,Small Groceries in Louisville 40207
The Fresh Market · Visited link,"1805 Rudy Ln, Louisville, KY 40207",stores.thefreshmarket.com,(502) 895-7593,,4.4,"Upscale grocery store chain with an old-world vibe offers local produce, prepared eats, wine & more.",38.27963,-85.7099718,Small Groceries in Louisville 40207
Kroger · Visited link,"2200 Brownsboro Rd, Louisville, KY 40206",kroger.com,(502) 897-1133,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2578606,-85.7763335,Small Groceries in Louisville 40207
Sam's Food Mart · Visited link,"2749 Bank St, Louisville, KY 40212",,,,4.5,,38.2709989,-85.8671454,Small Groceries in Louisville 40207
ALDI · Visited link,"3442 Preston Hwy, Louisville, KY 40213",stores.aldi.us,(855) 955-2534,,4.5,"Retail chain selling a range of grocery items, meat & dairy.",38.194908,-85.802991,Small Groceries in Louisville 40207
Whole Foods Market · Visited link,"4944 Shelbyville Rd, Louisville, KY 40207",wholefoodsmarket.com,(502) 899-5545,,4.4,"Eco-minded chain with natural & organic grocery items, housewares & other products (most sell wine).",38.248632,-85.6980794,Small Groceries in Louisville 40207
Scotts Food Mart & Deli · Visited link,"1810 Berry Blvd, Louisville, KY 40215",,(502) 368-1398,,3.3,"·
Delivery",38.1963663,-85.8685908,Small Groceries in Louisville 40207
DG Market · Visited link,"200 E Broadway, Louisville, KY 40202",dollargeneral.com,(502) 276-7912,,3.1,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.24522,-85.8234408,Small Groceries in Louisville 40207
