name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Thorntons,"3320 Preston Hwy, Louisville, KY 40213",thorntonsinc.com,(502) 366-4047,,3.2,,38.199486,-85.8055778,Corner Stores in Louisville 40206
Scheler's Food Market · Visited link,"1397 S 2nd St St, Louisville, KY 40208",,(502) 635-2779,,4.1,"·
Delivery",38.199486,-85.8055778,Corner Stores in Louisville 40206
Highlands Mart · Visited link,"1351 Bardstown Rd, Louisville, KY 40204",,(502) 454-3931,,4.1,,38.199486,-85.8055778,Corner Stores in Louisville 40206
Circle K · Visited link,"1630 Arthur St, Louisville, KY 40208",circlek.com,(502) 634-8917,,2.7,,38.199486,-85.8055778,Corner Stores in Louisville 40206
Dongar Food Mart & Deli · Visited link,"1397 S 2nd St St, Louisville, KY 40208",,(502) 635-2779,,3.9,,38.199486,-85.8055778,Corner Stores in Louisville 40206
Platinum Food Mart · Visited link,"1025 W Broadway, Louisville, KY 40203",,(502) 690-7365,,4.9,"Convenience store chain offering grab-&-go bites & beverages, plus assorted newsstand items.",38.2477431,-85.841038,Corner Stores in Louisville 40206
EZ Food Mart · Visited link,"1100 Algonquin Pkwy, Louisville, KY 40208",,(502) 690-3193,,4.7,"·
In-store pickup
·
Delivery",38.2477431,-85.841038,Corner Stores in Louisville 40206
Next Door Convenience Food Mrt · Visited link,"3303 Newburg Rd, Louisville, KY 40218",,(502) 458-7308,,3.9,,38.2007962,-85.7572173,Corner Stores in Louisville 40206
Thorntons · Visited link,"3320 Preston Hwy, Louisville, KY 40213",thorntonsinc.com,(502) 366-4047,,3.2,,38.199486,-85.8055778,Corner Stores in Louisville 40206
Shelby Mart · Visited link,"901 S Shelby St, Louisville, KY 40203",,(502) 384-1800,,3.3,,38.199486,-85.8055778,Corner Stores in Louisville 40206
Tnj Corner Store · Visited link,"3328 Virginia Ave, Louisville, KY 40211",,(502) 822-3644,,5.0,,38.2387772,-85.8822589,Corner Stores in Louisville 40206
Circle K · Visited link,"4301 Preston Hwy, Louisville, KY 40213",circlek.com,(502) 361-8500,,3.2,,38.186294,-85.7958518,Corner Stores in Louisville 40206
Speedway · Visited link,"1101 Bardstown Rd, Louisville, KY 40204",speedway.com,(502) 458-6643,,3.2,,38.2384409,-85.7924689,Corner Stores in Louisville 40206
Stop N Go · Visited link,"5401 Indian Oaks Cir, Louisville, KY 40219",,(502) 969-0693,,3.7,,38.1705556,-85.7590422,Corner Stores in Louisville 40206
Circle K · Visited link,"5001 Preston Hwy, Louisville, KY 40213",circlek.com,(502) 969-4367,,3.5,"·
In-store pickup",38.1705556,-85.7590422,Corner Stores in Louisville 40206
Stop N Go · Visited link,"700 W Oak St, Louisville, KY 40203",,(502) 919-7166,,3.4,,38.2352011,-85.8375408,Corner Stores in Louisville 40206
Circle K · Visited link,"6517 Preston Hwy, Louisville, KY 40219",circlek.com,(502) 964-8984,,3.7,,38.157379,-85.7687298,Corner Stores in Louisville 40206
Circle K · Visited link,"5000 Shepherdsville Rd, Louisville, KY 40228",circlek.com,(502) 969-6448,,3.6,,38.1783682,-85.7320403,Corner Stores in Louisville 40206
7th Street Food Mart · Visited link,"2517 7th Street Rd, Louisville, KY 40208",,(502) 636-0073,,5.0,,38.2143884,-85.8550402,Corner Stores in Louisville 40206
Circle K · Visited link,"2911 Bardstown Rd, Louisville, KY 40205",circlek.com,(502) 451-0030,,2.8,,38.2167117,-85.7472584,Corner Stores in Louisville 40206
24/7 Stop & Go · Visited link,"427 Warnock St, Louisville, KY 40217",,,,3.7,,38.2144815,-85.8234086,Corner Stores in Louisville 40206
Speedway · Visited link,"2210 Arthur St, Louisville, KY 40208",speedway.com,(502) 636-0438,,4.0,,38.2144815,-85.8234086,Corner Stores in Louisville 40206
F & M Food Mart · Visited link,"1600 Arcade Ave, Louisville, KY 40215",facebook.com,(502) 361-4200,,4.0,,38.2078833,-85.8582825,Corner Stores in Louisville 40206
4th & Cardinal Food Mart · Visited link,"1927 S 4th St, Louisville, KY 40208",,(502) 635-7740,,3.0,,38.2078833,-85.8582825,Corner Stores in Louisville 40206
Quick Shop Food Mart · Visited link,"1307 Clara Ave, Louisville, KY 40215",,(502) 361-2082,,3.6,,38.2078833,-85.8582825,Corner Stores in Louisville 40206
CAPS Food Mart & Deli (MARATHON) · Visited link,"1506 S Shelby St, Louisville, KY 40217",,(502) 636-1953,,2.8,,38.2246639,-85.8147154,Corner Stores in Louisville 40206
Stop & Save Food Mart · Visited link,"2752 7th Street Rd, Louisville, KY 40215",,(502) 749-4012,,4.1,,38.211575,-85.8583585,Corner Stores in Louisville 40206
Dongar Food Mart · Visited link,"1735 Newburg Rd, Louisville, KY 40205",bp.com,(502) 749-6002,,2.3,"·
Delivery",38.2241683,-85.7834125,Corner Stores in Louisville 40206
12th & Hill Mart · Visited link,"1201 W Hill St, Louisville, KY 40210",,(502) 690-7654,,2.7,,38.2275581,-85.8473843,Corner Stores in Louisville 40206
DG Market · Visited link,"200 E Broadway, Louisville, KY 40202",dollargeneral.com,(502) 276-7912,,3.1,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2275581,-85.8473843,Corner Stores in Louisville 40206
Speedway · Visited link,"4300 Crittenden Dr, Louisville, KY 40209",speedway.com,(502) 363-1699,,3.9,,38.2275581,-85.8473843,Corner Stores in Louisville 40206
Speedway · Visited link,"1422 Poplar Level Rd, Louisville, KY 40217",speedway.com,(502) 637-7198,,3.5,"Gas-station & convenience-store chain with grab-&-go food, plus hot & cold beverages.",38.2194641,-85.8011121,Corner Stores in Louisville 40206
Speedway · Visited link,"3030 Taylor Blvd, Louisville, KY 40208",speedway.com,(502) 634-8955,,3.8,,38.2069233,-85.8481216,Corner Stores in Louisville 40206
Happys Food Mart · Visited link,"1397 S 2nd St, Louisville, KY 40208",,,,4.0,,38.2069233,-85.8481216,Corner Stores in Louisville 40206
Red Birds Food Store Llc · Visited link,"2210 Arthur St, Louisville, KY 40208",,(502) 409-4970,,,"·
In-store shopping",38.2069233,-85.8481216,Corner Stores in Louisville 40206
Speedway · Visited link,"4239 Poplar Level Rd, Louisville, KY 40213",speedway.com,(502) 459-0045,,3.7,,38.1975361,-85.7794916,Corner Stores in Louisville 40206
Duramart · Visited link,"1480 S 7th St, Louisville, KY 40208",,(502) 634-7110,,3.7,,38.227042,-85.8412868,Corner Stores in Louisville 40206
Lucy Mae's Food Mart & Kitchen · Visited link,"2300 W Kentucky St suite 1, Louisville, KY 40210",,(502) 290-9291,,4.6,"·
Delivery",38.227042,-85.8412868,Corner Stores in Louisville 40206
Kamco Oil Speedy Mart · Visited link,"401 Winkler Ave, Louisville, KY 40208",,(502) 635-2005,,4.0,,38.227042,-85.8412868,Corner Stores in Louisville 40206
Thorntons · Visited link,"3300 Bardstown Rd, Louisville, KY 40218",thorntonsinc.com,(502) 451-9467,,2.9,,38.20763,-85.7413478,Corner Stores in Louisville 40206
Iroquois Food Mart · Visited link,"5105 New Cut Rd, Louisville, KY 40214",fb.me,(502) 384-1086,,3.8,,38.163385,-85.8511921,Corner Stores in Louisville 40206
Thorntons · Visited link,"5318 Preston Hwy, Louisville, KY 40213",thorntonsinc.com,(502) 964-5211,,3.2,,38.1707647,-85.7814884,Corner Stores in Louisville 40206
Stop N Go Smokes & Liquor · Visited link,"427 Warnock St, Louisville, KY 40217",,(502) 635-4844,,4.0,"·
Delivery",38.2145808,-85.8233264,Corner Stores in Louisville 40206
4th & Central Liquor's & Smoke · Visited link,"3004 S 4th St, Louisville, KY 40208",business.net,(502) 398-5254,,3.4,"·
In-store shopping
·
Curbside pickup",38.2145808,-85.8233264,Corner Stores in Louisville 40206
Shorty's Food Mart · Visited link,"2133 Dixie Hwy, Louisville, KY 40210",,(502) 775-6262,,3.9,,38.2197302,-85.8655478,Corner Stores in Louisville 40206
Jim Dandy Food & smoke shop · Visited link,"4902 Poplar Level Rd, Louisville, KY 40219",,(502) 969-8848,,3.7,"·
In-store shopping",38.1709226,-85.7570626,Corner Stores in Louisville 40206
bp · Visited link,"601 E Broadway, Louisville, KY 40202",bp.com,(502) 584-4024,,3.7,"·
Diesel gas",38.245252,-85.8152708,Corner Stores in Louisville 40206
