name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Pic Pac Southside Drive,"6629 Southside Dr, Louisville, KY 40214",facebook.com,(502) 366-9389,,4.2,"·
In-store pickup",38.1595779,-85.8362719,Supermarkets/Full-Service Groceries in Louisville 40205
Whole Foods Market,"4944 Shelbyville Rd, Louisville, KY 40207",wholefoodsmarket.com,(502) 899-5545,,4.4,"Eco-minded chain with natural & organic grocery items, housewares & other products (most sell wine).",38.248632,-85.6980794,Supermarkets/Full-Service Groceries in Louisville 40205
Kroger · Visited link,"2440 Bardstown Rd, Louisville, KY 40205",kroger.com,(502) 459-9805,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.223086,-85.7593739,Supermarkets/Full-Service Groceries in Louisville 40205
Kroger · Visited link,"1265 Goss Ave, Louisville, KY 40217",kroger.com,(502) 634-0724,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2264998,-85.8025548,Supermarkets/Full-Service Groceries in Louisville 40205
ValuMarket Mid City Mall · Visited link,"1250 Bardstown Rd #1, Louisville, KY 40204",valumarket.com,(502) 459-2221,,4.3,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2264998,-85.8025548,Supermarkets/Full-Service Groceries in Louisville 40205
Kroger · Visited link,"4009 Poplar Level Rd, Louisville, KY 40213",kroger.com,(502) 454-3914,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2264998,-85.8025548,Supermarkets/Full-Service Groceries in Louisville 40205
Kroger · Visited link,"4009 Poplar Level Rd, Louisville, KY 40213",kroger.com,(502) 454-3914,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2264998,-85.8025548,Supermarkets/Full-Service Groceries in Louisville 40205
Kroger,"3039 Breckenridge Ln, Louisville, KY 40220",kroger.com,(502) 452-6445,,3.9,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2174813,-85.6983537,Supermarkets/Full-Service Groceries in Louisville 40205
Whole Foods Market · Visited link,"4944 Shelbyville Rd, Louisville, KY 40207",wholefoodsmarket.com,(502) 899-5545,,4.4,"Eco-minded chain with natural & organic grocery items, housewares & other products (most sell wine).",38.2025849,-85.8334602,Supermarkets/Full-Service Groceries in Louisville 40205
Kroger · Visited link,"4944 Shelbyville Rd, Louisville, KY 40207",wholefoodsmarket.com,(502) 899-5545,,4.4,"Eco-minded chain with natural & organic grocery items, housewares & other products (most sell wine).",38.248632,-85.6980794,Supermarkets/Full-Service Groceries in Louisville 40205
Kroger,"2710 W Broadway, Louisville, KY 40211",kroger.com,(502) 778-3346,,3.5,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2485445,-85.8690146,Supermarkets/Full-Service Groceries in Louisville 40205
Kroger Marketplace · Visited link,"2200 Brownsboro Rd, Louisville, KY 40206",kroger.com,(502) 897-1133,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2578606,-85.7763335,Supermarkets/Full-Service Groceries in Louisville 40205
Scheler's Food Market · Visited link,"1397 S 2nd St St, Louisville, KY 40208",,(502) 635-2779,,4.1,"·
Delivery",38.2289827,-85.8299344,Supermarkets/Full-Service Groceries in Louisville 40205
Kroger · Visited link,"3616 Buechel Bypass, Louisville, KY 40218",kroger.com,(502) 456-6522,,3.9,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.1981568,-85.7358049,Supermarkets/Full-Service Groceries in Louisville 40205
Walmart Neighborhood Market · Visited link,"143 Thierman Ln, St Matthews, KY 40207",walmart.com,(502) 893-8088,,4.2,"·
Drive-through
·
No-contact delivery
·
Dine-in",38.2536774,-85.7163144,Supermarkets/Full-Service Groceries in Louisville 40205
Kroger · Visited link,"4211 S 3rd St, Louisville, KY 40214",kroger.com,(502) 368-3065,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.1949549,-85.8367288,Supermarkets/Full-Service Groceries in Louisville 40205
Webb's Market · Visited link,"944 E Muhammad Ali Blvd, Louisville, KY 40204",,(502) 583-0318,,4.1,,38.2485922,-85.8070033,Supermarkets/Full-Service Groceries in Louisville 40205
Supermercado Guanajuato #2 · Visited link,"6201 Preston Hwy Ste B, Louisville, KY 40219",supermercadoguanajuato.com,(502) 498-5088,,4.3,,38.1609901,-85.7684032,Supermarkets/Full-Service Groceries in Louisville 40205
Valu Market Iroquois Manor · Visited link,"5301 Mitscher Ave, Louisville, KY 40214",valumarket.com,(502) 361-9285,,4.1,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.1713829,-85.8423094,Supermarkets/Full-Service Groceries in Louisville 40205
Meijer · Visited link,"4500 S Hurstbourne Pkwy, Louisville, KY 40299",meijer.com,(502) 493-4900,,4.2,"Chain retailer featuring brand-name groceries plus apparel, electronics & more.",38.1881229,-85.6796198,Supermarkets/Full-Service Groceries in Louisville 40205
Rainbow Blossom St Matthews · Visited link,"3738 Lexington Rd, Louisville, KY 40207",rainbowblossom.com,(502) 896-0189,,4.5,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2520587,-85.7311557,Supermarkets/Full-Service Groceries in Louisville 40205
The Fresh Market · Visited link,"1805 Rudy Ln, Louisville, KY 40207",stores.thefreshmarket.com,(502) 895-7593,,4.4,"Upscale grocery store chain with an old-world vibe offers local produce, prepared eats, wine & more.",38.2520587,-85.7311557,Supermarkets/Full-Service Groceries in Louisville 40205
Kroger Marketplace · Visited link,"9080 Taylorsville Rd, Louisville, KY 40299",kroger.com,(502) 491-8805,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2126359,-85.6640978,Supermarkets/Full-Service Groceries in Louisville 40205
Kroger · Visited link,"291 N Hubbards Ln #130, St Matthews, KY 40207",kroger.com,(502) 895-8332,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.25834,-85.7088959,Supermarkets/Full-Service Groceries in Louisville 40205
Rainbow Blossom Highlands · Visited link,"3046 Bardstown Rd, Louisville, KY 40205",rainbowblossom.com,(502) 498-2470,,4.5,"·
In-store pickup",38.2129437,-85.7460336,Supermarkets/Full-Service Groceries in Louisville 40205
ALDI · Visited link,"3442 Preston Hwy, Louisville, KY 40213",stores.aldi.us,(855) 955-2534,,4.5,"Retail chain selling a range of grocery items, meat & dairy.",38.194908,-85.802991,Supermarkets/Full-Service Groceries in Louisville 40205
