name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Circle K · Visited link,"5203 Greenwood Rd, Louisville, KY 40258",circlek.com,(502) 933-3242,,3.7,,38.1402801,-85.9603343,Convenience Stores in Louisville 40207
Circle K · Visited link,"10414 Dixie Hwy, Louisville, KY 40272",circlek.com,(502) 933-9665,,4.4,,38.1402801,-85.9603343,Convenience Stores in Louisville 40207
Circle K · Visited link,"9200 Dixie Hwy, Louisville, KY 40272",circlek.com,(502) 935-5319,,3.3,,38.1402801,-85.9603343,Convenience Stores in Louisville 40207
Thorntons · Visited link,"8400 Dixie Hwy, Louisville, KY 40258",thorntonsinc.com,(502) 933-5344,,4.0,,38.12988,-85.9208378,Convenience Stores in Louisville 40207
Circle k · Visited link,"5414 Valley Station Rd, Louisville, KY 40272",circlek.com,(502) 933-9665,,4.1,,38.12988,-85.9208378,Convenience Stores in Louisville 40207
Murphy USA · Visited link,"7000 Raggard Rd, Louisville, KY 40216",murphyusa.com,(502) 449-5880,,4.0,,38.1738455,-85.9436314,Convenience Stores in Louisville 40207
Circle K · Visited link,"10642 Dixie Hwy, Louisville, KY 40272",circlek.com,(502) 937-5838,,4.0,,38.0993752,-85.9442289,Convenience Stores in Louisville 40207
Dixie gas · Visited link,"10501 Dixie Hwy, Louisville, KY 40272",,(502) 409-8168,,4.6,,38.0993752,-85.9442289,Convenience Stores in Louisville 40207
River Mart · Visited link,"7207 Lower Hunters Trace, Louisville, KY 40258",,(502) 690-2005,,5.0,,38.175491,-85.9532238,Convenience Stores in Louisville 40207
Speedway · Visited link,"7430 Terry Rd, Louisville, KY 40258",speedway.com,(502) 937-9679,,3.5,,38.175491,-85.9532238,Convenience Stores in Louisville 40207
FiveStar · Visited link,"9501 Cane Run Rd, Louisville, KY 40258",fivestarfoodmart.com,(502) 749-6715,,3.4,"·
In-store shopping",38.1173115,-85.9679224,Convenience Stores in Louisville 40207
Marathon · Visited link,"9501 Cane Run Rd, Louisville, KY 40258",fivestarfoodmart.com,(502) 749-6715,,3.4,"·
In-store shopping",38.183375,-85.9274356,Convenience Stores in Louisville 40207
Friendly Food Mart · Visited link,"3110 Rockford Ln, Louisville, KY 40216",,(502) 447-5909,,3.9,,38.183375,-85.9274356,Convenience Stores in Louisville 40207
Dollar General · Visited link,"7500 Terry Rd, Louisville, KY 40258",dollargeneral.com,(502) 632-7071,,5.0,"·
Delivery",38.183375,-85.9274356,Convenience Stores in Louisville 40207
Meijer Express Gas Station · Visited link,"9901 Dixie Hwy, Louisville, KY 40272",meijer.com,(502) 995-2129,,3.8,,38.1135804,-85.9334994,Convenience Stores in Louisville 40207
