name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Newburg Community Action Center Food Pantry · Visited link,"4810 Exeter Ave, Louisville, KY 40218",louisvilleky.gov,(502) 574-1270,,3.0,,38.1807256,-85.7427847,Community Food Pantries in Louisville 40202
Dare to Care Food Bank · Visited link,"5803 Fern Valley Rd, Louisville, KY 40228",daretocare.org,(502) 966-3821,,4.7,,38.1807256,-85.7427847,Community Food Pantries in Louisville 40202
Overflow Community Center · Visited link,"5202 Stony Brook Dr, Louisville, KY 40291",overflowcommunitycenter.org,(502) 681-6324,,4.9,,38.1721705,-85.6754978,Community Food Pantries in Louisville 40202
Fishes and Loaves Louisville · Visited link,"8012 Vaughn Mill Rd, Louisville, KY 40228",goodshepherdlouisville.com,(502) 239-2308,,5.0,,38.1721705,-85.6754978,Community Food Pantries in Louisville 40202
Forest Baptist Food Pantry - Food Distribution Center · Visited link,"4500 Petersburg Rd, Louisville, KY 40218",fbcnewburg.org,(502) 454-0189,,5.0,,38.1860843,-85.741008,Community Food Pantries in Louisville 40202
Community Ministries of Walnut Street Baptist Church Food Pantry · Visited link,"220 St Catherine St, Louisville, KY 40203",cmwsbc.org,(502) 589-3454,,4.4,,38.236927,-85.8293838,Community Food Pantries in Louisville 40202
Fern Creek Highview United Ministries - Food Distribution Center · Visited link,"9300 Beulah Church Rd, Louisville, KY 40291",fchum.org,(502) 762-9611,,5.0,,38.1485183,-85.6616357,Community Food Pantries in Louisville 40202
"Society Of Saint Vincent De Paul, Council Of Louisville, Ky - Food Distribution Center · Visited link","415 E St Catherine St, Louisville, KY 40203",,(502) 584-2480,,4.5,,38.2360398,-85.820296,Community Food Pantries in Louisville 40202
Kentucky Harvest · Visited link,"7705 National Turnpike, Louisville, KY 40214",kyharvest.org,(502) 894-9999,,4.3,,38.1419299,-85.8256453,Community Food Pantries in Louisville 40202
Bethlehem Baptist Church · Visited link,"5708 Preston Hwy, Louisville, KY 40219",daretocare.org,(502) 964-4384,,4.6,,38.1419299,-85.8256453,Community Food Pantries in Louisville 40202
Highlands Community Ministries - Food Distribution Center · Visited link,"1228 E Breckinridge St, Louisville, KY 40204",hcmlouisville.org,(502) 451-3695,,,,38.1665354,-85.7773953,Community Food Pantries in Louisville 40202
Ujima Neighoborhood Place - Food Distribution Center · Visited link,"3610 Bohne Ave, Louisville, KY 40211",louisvilleky.gov,(502) 485-6710,,5.0,,38.2282729,-85.8871523,Community Food Pantries in Louisville 40202
Saint George Community Center - Food Distribution Center · Visited link,"1205 S 26th St, Louisville, KY 40210",,(502) 776-0800,,5.0,,38.2282729,-85.8871523,Community Food Pantries in Louisville 40202
Walnut Street CSM - Food Distribution Center · Visited link,"1143 S 3rd St, Louisville, KY 40203",cmwsbc.org,(502) 589-3454,,4.3,,38.2357444,-85.8303563,Community Food Pantries in Louisville 40202
Youthbuild Louisville - Food Distribution Center · Visited link,"812 S Preston St, Louisville, KY 40203",,(502) 290-6121,,,,38.2357444,-85.8303563,Community Food Pantries in Louisville 40202
Jeffersontown Area Ministries - Food Distribution Center · Visited link,"10617 Taylorsville Rd, Louisville, KY 40299",jtownministries.org,(502) 267-1055,,4.7,,38.1909815,-85.6302782,Community Food Pantries in Louisville 40202
