name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Dare to Care Community Kitchen · Visited link,"1200 S 28th St, Louisville, KY 40211",daretocare.org,(502) 966-3821,,4.1,,38.2608181,-85.8529554,Food Justice Organizations in Louisville 40206
Loaves and Fishes Inc · Visited link,"500 E Caldwell St, Louisville, KY 40203",loavesandfishesinc.com,(502) 718-5264,,4.8,,38.2608181,-85.8529554,Food Justice Organizations in Louisville 40206
Youthbuild Louisville - Food Distribution Center · Visited link,"812 S Preston St, Louisville, KY 40203",,(502) 290-6121,,,,38.2608181,-85.8529554,Food Justice Organizations in Louisville 40206
Feed Louisville · Visited link,"1334 Story Ave, Louisville, KY 40206",feedlouisville.org,,,5.0,,38.2560132,-85.7983209,Food Justice Organizations in Louisville 40206
Louisville Metro Resilience and Community Services · Visited link,"701 W Ormsby Ave #201, Louisville, KY 40203",louisvilleky.gov,(502) 574-4377,,4.5,,38.2337338,-85.8388729,Food Justice Organizations in Louisville 40206
Community Foundation of Louisville · Visited link,"325 W Main St #1110, Louisville, KY 40202",cflouisville.org,(502) 585-4649,,4.0,,38.2337338,-85.8388729,Food Justice Organizations in Louisville 40206
Louisville Urban League · Visited link,"1535 W Broadway, Louisville, KY 40203",lul.org,(502) 585-4622,,4.4,,38.2337338,-85.8388729,Food Justice Organizations in Louisville 40206
Access Justice · Visited link,"521 N 26th St, Louisville, KY 40212",accessjc.org,(502) 742-0000,,4.0,,38.2337338,-85.8388729,Food Justice Organizations in Louisville 40206
Educational Justice · Visited link,"200 York St, Louisville, KY 40203",educationaljustice.org,(502) 709-8719,,5.0,,38.2337338,-85.8388729,Food Justice Organizations in Louisville 40206
New Roots · Visited link,"1800 Portland Ave #1060, Louisville, KY 40203",newroots.org,(502) 509-6770,,4.8,,38.2337338,-85.8388729,Food Justice Organizations in Louisville 40206
Louisville Grows · Visited link,"1641 Portland Ave, Louisville, KY 40203",louisvillegrows.org,(502) 791-0966,,4.8,,38.2337338,-85.8388729,Food Justice Organizations in Louisville 40206
"Change Today, Change Tomorrow · Visited link","2500 W Broadway Suite 3, Louisville, KY 40211",change-today.org,(502) 512-2160,,4.8,,38.2337338,-85.8388729,Food Justice Organizations in Louisville 40206
Greater Louisville Inc. · Visited link,"101 S 5th St Ste 2300, Louisville, KY 40202",greaterlouisville.com,(502) 625-0000,,4.5,,38.2337338,-85.8388729,Food Justice Organizations in Louisville 40206
Kentucky Harvest · Visited link,"7705 National Turnpike, Louisville, KY 40214",kyharvest.org,(502) 894-9999,,4.3,,38.1419299,-85.8256453,Food Justice Organizations in Louisville 40206
Dare to Care Food Bank · Visited link,"5803 Fern Valley Rd, Louisville, KY 40228",daretocare.org,(502) 966-3821,,4.7,,38.1567412,-85.7256412,Food Justice Organizations in Louisville 40206
Highlands Community Ministries · Visited link,"1228 E Breckinridge St, Louisville, KY 40204",hcmlouisville.org,(502) 451-3695,,4.8,,38.2397308,-85.8031692,Food Justice Organizations in Louisville 40206
Greater Louisville Project · Visited link,"325 W Main St #1110, Louisville, KY 40202",greaterlouisvilleproject.org,(502) 855-6961,,,,38.2397308,-85.8031692,Food Justice Organizations in Louisville 40206
Legal Aid Society · Visited link,"416 W Muhammad Ali Blvd #300, Louisville, KY 40202",laslou.org,(502) 584-1254,,3.9,,38.2397308,-85.8031692,Food Justice Organizations in Louisville 40206
Highlands Community Ministries - Food Distribution Center · Visited link,"1228 E Breckinridge St, Louisville, KY 40204",hcmlouisville.org,(502) 451-3695,,,,38.2397308,-85.8031692,Food Justice Organizations in Louisville 40206
Louisville Justice Resource Center · Visited link,"18071/2 W Oak St, Louisville, KY 40210",louisvillejrc.org,(502) 774-8624,,1.0,,38.2369813,-85.8540003,Food Justice Organizations in Louisville 40206
The Food Literacy Project · Visited link,"Paradise Ln, Louisville, KY 40258",foodliteracyproject.org,(502) 795-3365,,5.0,,38.1376812,-85.943196,Food Justice Organizations in Louisville 40206
Dare To care · Visited link,"702 Barret Ave, Louisville, KY 40204",,,,5.0,,38.2440044,-85.8063348,Food Justice Organizations in Louisville 40206
First Unitarian Church · Visited link,"809 S 4th St, Louisville, KY 40203",firstulou.org,(502) 585-5110,,4.7,,38.2440044,-85.8063348,Food Justice Organizations in Louisville 40206
Just Faith Ministres · Visited link,"812 Lyndon Ln, Louisville, KY 40222",,(502) 327-3866,,5.0,,38.2632219,-85.6808678,Food Justice Organizations in Louisville 40206
JFCS Food Pantry - Food Distribution Center · Visited link,"2821 Klempner Wy, Louisville, KY 40205",,(502) 452-6341,,5.0,,38.2259559,-85.7235459,Food Justice Organizations in Louisville 40206
Louisville Downtown Partnership · Visited link,"500 W Jefferson St Ste. 1210, Louisville, KY 40202",louisvilledowntown.org,(502) 584-6000,,3.4,,38.2538406,-85.8313018,Food Justice Organizations in Louisville 40206
"Bringing Justice Home, Inc. · Visited link",,bringingjusticehomelou.org,(502) 215-0155,,,,38.188805,-85.7488683,Food Justice Organizations in Louisville 40206
