name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Beargrass Christian Church,,,,,4.7,,38.1311833,-85.7017575,Community Food Pantries in Louisville 40207
Dare to Care Food Bank · Visited link,"5803 Fern Valley Rd, Louisville, KY 40228",daretocare.org,(502) 966-3821,,4.7,,38.1311833,-85.7017575,Community Food Pantries in Louisville 40207
Fern Creek Highview United Ministries - Food Distribution Center · Visited link,"9300 Beulah Church Rd, Louisville, KY 40291",fchum.org,(502) 762-9611,,5.0,,38.1485183,-85.6616357,Community Food Pantries in Louisville 40207
Bethlehem Baptist Church · Visited link,"5708 Preston Hwy, Louisville, KY 40219",daretocare.org,(502) 964-4384,,4.6,,38.1665354,-85.7773953,Community Food Pantries in Louisville 40207
South Louisville Community Ministries · Visited link,"415 1/2 W Ashland Ave, Louisville, KY 40214",slcm.org,(502) 367-6445,,4.6,,38.185801,-85.8405918,Community Food Pantries in Louisville 40207
Newburg Community Action Center Food Pantry · Visited link,"4810 Exeter Ave, Louisville, KY 40218",louisvilleky.gov,(502) 574-1270,,3.0,,38.1807256,-85.7427847,Community Food Pantries in Louisville 40207
"Society Of Saint Vincent De Paul, Council Of Louisville, Ky - Food Distribution Center · Visited link","415 E St Catherine St, Louisville, KY 40203",,(502) 584-2480,,4.5,,38.2360398,-85.820296,Community Food Pantries in Louisville 40207
Kentucky Harvest · Visited link,"7705 National Turnpike, Louisville, KY 40214",kyharvest.org,(502) 894-9999,,4.3,,38.1419299,-85.8256453,Community Food Pantries in Louisville 40207
Shively Area Ministries · Visited link,"4415 Dixie Hwy, Louisville, KY 40216",shivelyareaministries.com,(502) 447-4330,,4.5,,38.181922,-85.887088,Community Food Pantries in Louisville 40207
Neighborhood House · Visited link,"201 N 25th St, Louisville, KY 40212",nhky.org,(502) 774-2322,,4.4,,38.2619762,-85.8630267,Community Food Pantries in Louisville 40207
Americana World Community Center · Visited link,"4801 Southside Dr, Louisville, KY 40214",americanacc.org,(502) 366-7813,,4.3,,38.1786881,-85.8365045,Community Food Pantries in Louisville 40207
Saint George Community Center - Food Distribution Center · Visited link,"1205 S 26th St, Louisville, KY 40210",,(502) 776-0800,,5.0,,38.2375071,-85.8680761,Community Food Pantries in Louisville 40207
St. Vincent de Paul Louisville · Visited link,"1015 S Preston St, Louisville, KY 40203",svdplou.org,(502) 584-2480,,4.5,,38.2369111,-85.8201033,Community Food Pantries in Louisville 40207
Antioch Church · Visited link,"7315 Southside Dr, Louisville, KY 40214",antiochpeople.org,(502) 367-1987,,4.8,,38.1472224,-85.8427111,Community Food Pantries in Louisville 40207
Sister Visitor Center - Choice Food Pantry · Visited link,"2235 W Market St, Louisville, KY 40212",cclou.org,,,4.8,,38.2588617,-85.8600247,Community Food Pantries in Louisville 40207
St Matthews Area Ministries · Visited link,"319 Browns Ln, Louisville, KY 40207",stmam.com,(502) 893-0205,,4.9,,38.2487147,-85.7158257,Community Food Pantries in Louisville 40207
Forest Baptist Food Pantry - Food Distribution Center · Visited link,"4500 Petersburg Rd, Louisville, KY 40218",fbcnewburg.org,(502) 454-0189,,5.0,,38.1860843,-85.741008,Community Food Pantries in Louisville 40207
Jefferson County Community Action · Visited link,"4810 Exeter Ave, Louisville, KY 40218",,(502) 574-1270,,5.0,,38.1860843,-85.741008,Community Food Pantries in Louisville 40207
Overflow Community Center · Visited link,"5202 Stony Brook Dr, Louisville, KY 40291",overflowcommunitycenter.org,(502) 681-6324,,4.9,,38.1721705,-85.6754978,Community Food Pantries in Louisville 40207
Portland's Food Pantry · Visited link,"3713 W Market St, Louisville, KY 40212",,(502) 778-3641,,3.9,,38.2616525,-85.8833654,Community Food Pantries in Louisville 40207
United Crescent Hill Ministries · Visited link,"150 State St, Louisville, KY 40206",uchmlouky.org,(502) 893-0346,,4.7,,38.2557918,-85.7882328,Community Food Pantries in Louisville 40207
Franciscan Kitchen · Visited link,"748 S Preston St, Louisville, KY 40203",franciscankitchen.org,(502) 589-0140,,4.6,,38.2557918,-85.7882328,Community Food Pantries in Louisville 40207
St George Community Center · Visited link,"1205 S 26th St, Louisville, KY 40210",episcopalky.org,(502) 775-6232,,4.2,,38.237493,-85.8680308,Community Food Pantries in Louisville 40207
Southwest Community Ministries · Visited link,"8504 Terry Rd, Louisville, KY 40258",southwestcommunityministries.org,(502) 935-0310,,4.5,,38.1304914,-85.9466909,Community Food Pantries in Louisville 40207
Jeffersontown Area Ministries - Food Distribution Center · Visited link,"10617 Taylorsville Rd, Louisville, KY 40299",jtownministries.org,(502) 267-1055,,4.7,,38.1909815,-85.6302782,Community Food Pantries in Louisville 40207
Central Louisville Community Ministries · Visited link,"809 S 4th St, Louisville, KY 40203",centrallouisvillecm.org,(502) 587-1999,,4.8,,38.2438498,-85.830351,Community Food Pantries in Louisville 40207
Eastern Area Community Ministries - Food Distribution Center · Visited link,"9104 Westport Rd, Louisville, KY 40242",eacmonline.org,(502) 426-2824,,5.0,,38.2823847,-85.6560189,Community Food Pantries in Louisville 40207
Catholic Charities of Louisville · Visited link,"435 E Broadway, Louisville, KY 40202",cclou.org,(502) 637-9786,,4.4,,38.2455891,-85.8181324,Community Food Pantries in Louisville 40207
South Central Neighborhood Place · Visited link,"4255 Hazelwood Ave, Louisville, KY 40215",louisvilleky.gov,(502) 485-7130,,4.0,,38.1806115,-85.8587766,Community Food Pantries in Louisville 40207
Fishes and Loaves Louisville · Visited link,"8012 Vaughn Mill Rd, Louisville, KY 40228",goodshepherdlouisville.com,(502) 239-2308,,5.0,,38.1311977,-85.7017575,Community Food Pantries in Louisville 40207
Dare to Care Community Kitchen · Visited link,"1200 S 28th St, Louisville, KY 40211",daretocare.org,(502) 966-3821,,4.1,,38.2378019,-85.872794,Community Food Pantries in Louisville 40207
Catholic Charities of Louisville Sister Visitor Center · Visited link,"2235 W Market St, Louisville, KY 40212",cclou.org,(502) 776-0155,,4.6,,38.2378019,-85.872794,Community Food Pantries in Louisville 40207
