name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
ALDI,"5109 Dixie Hwy, Louisville, KY 40216",stores.aldi.us,(855) 955-2534,,4.4,"Retail chain selling a range of grocery items, meat & dairy.",38.2484869,-85.9411126,Ethnic Groceries in Louisville 40211
Foods World (Eastern Goods LLC) · Visited link,"307 W Woodlawn Ave, Louisville, KY 40214",,(347) 841-3893,,4.7,"·
In-store shopping",38.2484869,-85.9411126,Ethnic Groceries in Louisville 40211
Bantu Star Food Market · Visited link,"1320 Berry Blvd, Louisville, KY 40215",,(502) 632-2882,,3.5,,38.2484869,-85.9411126,Ethnic Groceries in Louisville 40211
Teranga International African Market · Visited link,"3027 S 4th St, Louisville, KY 40208",,(502) 365-4610,,4.6,,38.2484869,-85.9411126,Ethnic Groceries in Louisville 40211
A-Chau Grocery Store · Visited link,"5107 S 3rd St, Louisville, KY 40214",,(502) 366-9830,,4.6,,38.2484869,-85.9411126,Ethnic Groceries in Louisville 40211
Ralhla Asian Market · Visited link,"307 W Woodlawn Ave, Louisville, KY 40214",,,,,,38.2484869,-85.9411126,Ethnic Groceries in Louisville 40211
H & S Groceries · Visited link,"4619 W Market St, Louisville, KY 40212",,(502) 778-7947,,3.8,,38.2484869,-85.9411126,Ethnic Groceries in Louisville 40211
Sunshine Grocery · Visited link,"125 E Oak St, Louisville, KY 40203",,(502) 561-9225,,4.4,,38.2484869,-85.9411126,Ethnic Groceries in Louisville 40211
Asian-Vietnam oriental food Market · Visited link,"5019 S 3rd St Rd, Louisville, KY 40214",asianorientalfoodmarket.com,(502) 361-7846,,4.8,"·
In-store shopping",38.2484869,-85.9411126,Ethnic Groceries in Louisville 40211
Phuoc Binh Grocery · Visited link,"5301 S 3rd St, Louisville, KY 40214",,(502) 366-7002,,4.0,,38.2484869,-85.9411126,Ethnic Groceries in Louisville 40211
ASIAN GROCERY LLC · Visited link,"7309 St Andrews Church Rd, Louisville, KY 40214",,(502) 915-0036,,4.3,,38.2484869,-85.9411126,Ethnic Groceries in Louisville 40211
African Food Store · Visited link,"4314 Taylor Blvd, Louisville, KY 40215",,(502) 384-3667,,4.5,,38.2484869,-85.9411126,Ethnic Groceries in Louisville 40211
