name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
ALDI,,,,,,,38.214374,-85.8550402,Locally-Owned Groceries in Louisville 40208
Cox's Smokers Outlet Downtown,,,,,,,38.214374,-85.8550402,Locally-Owned Groceries in Louisville 40208
Scheler's Food Market · Visited link,"542 Lampton St, Louisville, KY 40203",,(502) 583-2762,,4.6,,38.2415957,-85.8163981,Locally-Owned Groceries in Louisville 40208
Neighborhood Food Mart Inc · Visited link,"542 Lampton St, Louisville, KY 40203",,(502) 583-2762,,4.6,,38.2415957,-85.8163981,Locally-Owned Groceries in Louisville 40208
Oasis Grocery Mart & Head Shop&smokers oasis · Visited link,"1032 S 4th St, Louisville, KY 40203",,(502) 837-0582,,4.1,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2415957,-85.8163981,Locally-Owned Groceries in Louisville 40208
Dongar Food Mart & Deli · Visited link,"1397 S 2nd St St, Louisville, KY 40208",,(502) 635-2779,,3.9,,38.2415957,-85.8163981,Locally-Owned Groceries in Louisville 40208
Kroger · Visited link,"3165 S 2nd St, Louisville, KY 40208",kroger.com,(502) 368-6075,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2415957,-85.8163981,Locally-Owned Groceries in Louisville 40208
5 Brothers Grocery & Smokeshop · Visited link,"1159 S 4th St, Louisville, KY 40203",,(502) 919-8483,,4.0,,38.2415957,-85.8163981,Locally-Owned Groceries in Louisville 40208
Safari International Grocery Store · Visited link,"1900 Crums Ln, Louisville, KY 40216",,(502) 963-5221,,4.3,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.1926485,-85.8815089,Locally-Owned Groceries in Louisville 40208
Garden Girl Foods · Visited link,"1300 W Muhammad Ali Blvd, Louisville, KY 40203",,(502) 384-1600,,4.9,"·
Dine-in
·
Takeout
·
Delivery",38.2522931,-85.8452559,Locally-Owned Groceries in Louisville 40208
Kader's Market · Visited link,"4100 W Muhammad Ali Blvd, Louisville, KY 40212",kaders-market.keeq.io,(502) 776-2111,,4.4,"·
In-store shopping",38.2577502,-85.8909323,Locally-Owned Groceries in Louisville 40208
Tiny Mart · Visited link,"3337 Greenwood Ave, Louisville, KY 40211",tiny-mart.edan.io,(502) 822-3616,,4.5,"·
In-store shopping",38.2577502,-85.8909323,Locally-Owned Groceries in Louisville 40208
4th & Cardinal Food Mart · Visited link,"1927 S 4th St, Louisville, KY 40208",,(502) 635-7740,,3.0,,38.2196569,-85.8347201,Locally-Owned Groceries in Louisville 40208
Phuoc Binh Grocery · Visited link,"5301 S 3rd St, Louisville, KY 40214",,(502) 366-7002,,4.0,,38.2196569,-85.8347201,Locally-Owned Groceries in Louisville 40208
Shively Food Mart · Visited link,"3122 Dixie Hwy, Louisville, KY 40216",,(502) 690-3293,,4.0,"·
In-store pickup",38.2042523,-85.8728365,Locally-Owned Groceries in Louisville 40208
Thang-Long · Visited link,"4836 Southside Dr, Louisville, KY 40214",,(502) 368-9429,,4.5,,38.2042523,-85.8728365,Locally-Owned Groceries in Louisville 40208
Ali's Food Mart · Visited link,"1444 Dixie Hwy, Louisville, KY 40210",,(502) 240-9567,,4.1,,38.2042523,-85.8728365,Locally-Owned Groceries in Louisville 40208
Webb's Market · Visited link,"944 E Muhammad Ali Blvd, Louisville, KY 40204",,(502) 583-0318,,4.1,,38.2485922,-85.8070033,Locally-Owned Groceries in Louisville 40208
Galan's Meat Market & Deli · Visited link,"2801 W Market St, Louisville, KY 40212",galansmeat.com,(502) 614-8514,,4.3,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2601313,-85.8697941,Locally-Owned Groceries in Louisville 40208
